song|artist|lyrics|genre|emotion_4Q|emotion_2Q
Shattering The Skies Above|Trivium|[Verse 1] Take me into the seas So I can clean Off this disease  Death will complete me It's what I need  [Pre-Chorus] Take my evil To the skies Take my evil All light dies  [Chorus] Shattering the skies above I want to destroy all that you love Shattering the skies above I won't rest 'til I am drenched in blood  [Verse 2] Take me into the seas So I can clean Off this disease  Death will complete me It's what I need  [Pre-Chorus] Take my evil To the skies Take my evil All light dies  [Chorus] Shattering the skies above I want to destroy all that you love Shattering the skies above I won't rest 'til I am drenched in blood||angry|negative
Feed The Machine|Red|[Intro] Lies  [Verse 1] Turn around, they might be watching And you never disappoint them Hide your innocence before they see right through You mustn't disappoint them  [Pre-Chorus] You need the danger just to feel your heart beat You need to die just to find your identity You need the knife just to know that you can bleed You need the pain now just to feel anything  [Chorus] We fall in line We live the lie (Give up, give up and feed the machine) It grows inside Nowhere to hide Give up, give up and feed the machine Give up, give up and feed the machine  [Verse 2] They pull you faster, the cadence calling And you never fall behind So choose a face your only calling out You mustn't fall behind  [Pre-Chorus] You need another death just to have a life to save You need a master just so you can beg You need a light just because you're so afraid Now bow down and learn to be a good slave  [Chorus] We fall in line We live the lie (Give up, give up and feed the machine) It grows inside Nowhere to hide Give up, give up and feed the machine Give up, give up and feed the machine  [Pre-Breakdown] Go back to sleep Go back to sleep  [Breakdown] Wake up Wake up Wake up Wake up  [Chorus] We fall in line We live the lie (Give up, give up and feed the machine) It grows inside Nowhere to hide Wake up, wake up and kill the machine  [Outro] Wake up, wake up and kill the machine (Wake up, wake up and kill the machine) Wake up, wake up and kill the machine (Wake up, wake up and kill the machine)|Metal|sad|negative
Goodnight Sweetheart|David Kersh|[Verse 1] Window seat, 30,000 feet Above the ground, blue moon beams On silver wings brings me down  [Verse 2] Slipping off my coat For the long night flight I find a note she wrote last night I can almost hear those words As I close my eyes  [Chorus] Goodnight, sweetheart Sleep tight, wherever you are God hold you in his arms while we're apart Though, you're far away, your love will stay Tucked away here in my heart Goodnight, sweetheart Sleep tight wherever you are  [Bridge] These days I leave, the one Who needs me more and more it seems Its a high price that she pays For the dreams I dream  [Chorus] Goodnight, sweetheart Sleep tight, wherever you are God hold you in his arms while we're apart Though, you're far away, your love will stay Tucked away here in my heart Goodnight, sweetheart Sleep tight wherever you are  [Outro] Goodnight, sweetheart Sleep tight wherever you are|Country|relaxed|positive
At Christmas Time|Luther Vandross|[Refrain] Ooh, every year at Christmas time I hear the people laughin' Smilin', bein' happy again Ooh, at Christmas time Merry, Merry Christmas (Every day of the year) Merry, Merry Christmas  [Verse 1] Merry Christmas to the world I wish happiness and love for every boy and every girl 'Cause the holiday makes me feel this way Merry, Merry Christmas (Every day of the year) Merry, Merry Christmas  [Verse 2] What a joy it is to find Happy people joined together for the love of Christmas time Ooh, and they feel that way every Christmas day Merry, Merry Christmas Merry, Merry Christmas  [Refrain] Ooh, every year at Christmas time I hear the people laughin' (They smile) Smilin', bein' happy again Ooh, at Christmas time Merry, Merry Christmas (Every day of the year) Merry, Merry Christmas  [Bridge] Ooh, I wish that every day of the year Could have the love that we feel on Christmas day (Feel on Christmas day, ooh)  [Refrain] Ooh, every year at Christmas time I hear the people laughin' (They smile, they smile) Smilin', bein' happy again Ooh, at Christmas time Merry, Merry Christmas (Every day of the year) Merry, Merry Christmas  [Outro] (Of the year, may Christmas time be every day) Every year at Christmas time Merry, Merry Christmas (Every day of the year) Merry, Merry Christmas (Of the year, may Christmas time be every day) Every year at Christmas time Merry, Merry Christmas (Every day of the year) Merry, Merry Christmas (Of the year, may Christmas time be every day) At Christmas time Merry, Merry Christmas (Every day of the year) Merry, Merry Christmas (Of the year, may Christmas time be every day) Every day of the year at Christmas time Merry, Merry Christmas (Every day of the year) Christmas time (Merry, Merry Christmas) Merry, Merry, Merry (Of the year, may Christmas time be every day) Merry, Merry, Merry Christmas time Merry, Merry Christmas (Every day of the year) Merry, Merry Christmas Have a Merry, Merry (Of the year, may Christmas time be every day) A Merry, Merry, Merry, Merry Christmas time Merry, Merry Christmas (Every day of the year) A Christmas time (Merry, Merry Christmas) Of the year, may Christmas time be every day, ooh Merry, Merry Christmas|R&B|happy|positive
Reuters|Wire|Our own correspondent is sorry to tell Of an uneasy time, that all is not well  On the borders there's movement In the hills, there is trouble Food is short, crime is double  Prices have risen since the government fell Casualties increase as the enemy shell The climate's unhealthy, flies and rats thrive And sooner or later the end will arrive  This is your correspondent, running out of tape Gunfire's increasing, looting, burning, rape! (Rape, rape, rape) Rape! (Rape, rape, rape) (Rape, rape, rape) (Rape, rape, rape)||angry|negative
Contra Viento Y Marea|Los Bukis|Yo no sé cuanto dure lo nuestro Si es para siempre o un día terminará Lo cierto es que es algo tan especial Que no merece acabar  Puede ser que en alguna otra parte Tengamos cada cual algo mejor Algunas cosas de mas Mas dudo que encontremos nuevamente este amor  Cuantos hay que en la vida Se pasan buscando el amor Sin nada conseguir  Cuantos pierden dejando volar Lo que tal vez nunca ha de regresar  Por eso aunque el mundo entero en nosotros no crea Mientras exista nuestro amor Triunfará... contra viento y marea  Cuantos hay que en la vida Se pasan buscando el amor Sin nada conseguir  Cuantos pierden dejando volar Lo que tal vez nunca ha de regresar  Por eso aunque el mundo entero en nosotros no crea Mientras exista nuestro amor Triunfará... contra viento y marea  Sí... contra viento y marea||sad|negative
Blue Christmas|Harry Connick, Jr.|I'll have a blue Christmas without you I'll be so blue just thinking about you Decorations of red on a green Christmas tree They won't mean a think, if you're not here with me  I'll have a blue Christmas that's certain And when that blue heartache starts hurtin' You'll be doin' all right, with your Christmas of white But I'll have a blue, blue blue blue Christmas  You'll be doin' all right, with your Christmas of white But I'll have a blue, blue blue blue Christmas But I'll have a blue, blue blue blue Christmas But I'll have a blue, blue blue blue Christmas|Swing|relaxed|positive
Silent Night|Andy Williams|Silent night, holy night All is calm, all is bright Round yon Virgin Mother and Child Holy Infant so tender and mild Sleep in heavenly peace Sleep in heavenly peace  Silent night, holy night Son of God, love's pure light Radiant beams from Thy holy face With the dawn of redeeming grace Jesus, Lord, at Thy birth Jesus, Lord, at Thy birth|Swing|relaxed|positive
Silent Night|Bing Crosby|[Verse 1: Bing Crosby] Silent night, holy night All is calm and all is bright Round yon virgin, mother and child Holy infant so tender and mild Sleep in heavenly peace, sleep in heavenly peace  [Verse 2: Guardsmen Quartet] Silent night, holy night Shepherds quake at the sight Glories stream from heaven afar Heavenly hosts sing Alleluia Christ the Savior is born Christ the Savior is born  [Verse 3: Bing Crosby & Guardsmen Quartet] Silent night, holy night (Mmm) Child of heaven, oh how bright (Mmm) Thou did smile when thou was born (Mmm) Blessed be that happy morn (Mmm) All of heaven rejoice (Ahh) All of heaven rejoice (Ahh)|Pop|relaxed|positive
Glamour Boys|Living Colour|[Verse 1] The glamour boys swear they are a diva The glamour boys have it all under control Always dancing, always laughing The glamour boys are playing the role  [Verse 2] The glamour boys never have no money The glamour boys wear the most expensive clothes The glamour boys are always at the party Where the money comes from heaven only knows  [Chorus] I ain't no glamour boy (I'm fierce!) I ain't no glamour boy (Whoo!) I ain't no glamour boy (I'm fierce!) I ain't no glamour boy  [Verse 3] The glamour boys live off their ambition The glamour boys have it all figured out A very, very dubious position When you got no clout  [Verse 4] The glamour boys' whole life is a gamble They might get over or fall flat on their face But if one does, there's no need to worry Another G-Boy will take his place  [Chorus] I ain't no glamour boy (I'm fierce!) I ain't no glamour boy (Whoo!) I ain't no glamour boy (I'm fierce!) I ain't no glamour boy  [Guitar solo]  [Verse 5] The glamour boys don't think about tomorrow The glamour boys just need tonight to play But just like things you can't afford on credit Time catches up, and you have to pay  [Verse 6] The glamour boys are always on the guest list You'll always find them in the hottest spots in town They'll be your friend if you have fame or fortune If you don't, they won't be hanging 'round  [Chorus] I ain't no glamour boy (I'm fierce!) I ain't no glamour boy (Whoo!) I ain't no glamour boy (I'm fierce!) I ain't no glamour boy, yeah, yeah  [Chorus] I ain't no glamour boy (I'm fierce!) I ain't no glamour boy (Whoo!) I ain't no glamour boy (I'm fierce!) I ain't no glamour boy, no, no  [Outro] Hey, what do you mean my credit's no good?|Fusion|relaxed|positive
I'm Ready For Love|Martha & The Vandellas|[Verse 1] As I stand alone on this moon full night For the first time I feel alone in life As I watch the moon kiss the starlit sky I feel the need for your lips to press close to mine For so long, I've been afraid to love But right now, I feel the need for love And you, you have a love A love I need, oh, to comfort me  [Chorus] Ooh, and I'm ready for love I'm truly ready for love Your wonderful, sweet, sweet love Right now I'm ready for love  [Verse 2] I've tried to shield my heart from love's tender touch 'Cause to lose in love would hurt so much But as I softly walk in my solitude I search my heart and found there's a need for you And for the first time I feel alone 'Cause I need a love to call my own And only you, you have a love A love I need, oh, to comfort me  [Chorus] Ooh, and I'm ready for love, I'm truly ready for love You know I'm ready for love Your wonderful sweet sweet love  [Bridge] (I'm ready right now, I'm ready right now)  [Verse 3] Ooh, something wonderful has come over me And filled this heart of mine with ecstasy I'm glad I've finally opened up my eyes And pushed the fear of love, the fear of love aside And for the first time I feel alive I have the touch of love deep down inside And just as soon as I see your smiling face I'll rush into your warm embrace  [Chorus] Right now I'm ready for love I'm truly ready for love Your wonderful, sweet, sweet love Right now I'm ready for love You know I'm ready for love Your wonderful, sweet, sweet love Right now I'm ready for love||happy|positive
Our Love Is Loud|David Crowder Band|Can You Hear us album version, which is the same version as on WOW Worship Yellow: When we sing Hear our songs to You When we dance Feel us move to You When we laugh Fill our smiles with You When we lift our voices Louder still Can You hear us? Can You feel?  We love You, Lord We love You We love You  We love You, Lord We love You We love You  When we sing loud Hear our songs to You When we dance 'round Feel us move to You When we laugh aloud Fill our smiles with You When we lift our voices Louder still Can You hear us? Can You feel?  We love You, Lord We love You We love You  We love You, Lord We love You We love You  We love You, Lord We love You We love You  And our love is big Our love is loud Fill this place With this love now  And our love is big Our love is loud Fill this place With this love now  And our love is big Our love is loud Fill this place With this love now  And our love is big Our love is loud Feel our love Sing it loud  We love You, Lord We love You We love You  We love You, Lord We love You We love You  We love You, Lord We love You We love You  We love You, Lord We love You We love You  We lift our voices louder still Our God is near Our God is here  Let's lift our voices louder still Our God is near Our God is here  Let's lift our voices louder still Our God is near Our God is here  Let's lift our voices louder still Our God is near Our God is here  We love You, Lord We love You We love You  We love You, Lord We love You We love You  Passion: Our Love Is Loud album version: When we sing Hear our songs to You When we dance Feel us move to You When we laugh Fill our smiles with You When we lift our voices louder still Can You hear us? Can You feel?  We love You, Lord We love You We love You, oh  We love You, Lord We love You We love You, yeah  When we sing loud Hear our songs to You When we dance 'round Feel us move to You When we laugh aloud Fill our smiles with You When we lift our voices louder still Can You hear us? Can You feel?  We love You, Lord We love You We love You, oh  We love You, Lord We love You We love You, oh  We love You, Lord We love You We love You  And our love is big Our love is loud Fill this place With this love now  And our love is big Our love is loud Fill this place With this love now  And our love is big Our love is loud Fill this place With this love now  And our love is big Our love is loud Fill this place With this love now  We love You, Lord We love You We love You  We love You, Lord We love You We love You, oh yeah  We love You, Lord We love You We love You, oh  We love You, Lord We love You We love You  Let's lift our voices louder still Our God is near Our God is here  Let's lift our voices louder still Our God is near Our God is here, oh  Let's you voices louder still Our God is near Our God is here  Oh, lift your voices louder still Our God is near Our God is here  We love You, Lord We love You We love You, oh yeah, yeah, yeah  We love You, Lord We love You We love You, oh yeah  Yeah||happy|positive
Negative Creep|Nirvana|[Verse 1] This is out of our reach, this is out of our reach This is out of our reach, and it's grown This is getting to be, this is getting to be This is getting to be drone  [Pre-Chorus] I'm a negative creep, I'm a negative creep I'm a negative creep, and I'm stoned I'm a negative creep, I'm a negative creep I'm a negative creep, and I'm... I'm...  [Chorus] Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more  [Verse 2] This is out of our range, this is out of our range This is out of our range and it's crude This is getting to be, this is getting to be This is getting to be like drone  [Pre-Chorus] I'm a negative creep, I'm a negative creep I'm a negative creep and I'm stoned! I'm a negative creep, I'm a negative creep I'm a negative creep and I'm! Aah!  [Chorus] Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more!  [Bridge] Yeah! Drone Stoned  [Chorus] Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl ain't a girl no more Daddy's little girl|Grunge|relaxed|positive
Killing|The Rapture|Killing with flange and with tape and with hendrix and Killing with flange and with tape and with help I am the one who cannot ever see cause I am the one who cannot help myself  Oh, you're so bored  Trying to grab it And you think that you have it And you're wanting to know it And you're trying to show it, but You can't have it No, you can't have it No, you can't have it No you can't have  Killing with flange and with tape and with Hendrix and Killing with flange and with tape and with help I am the one who cannot ever see cause I am the one who cannot help myself  One, two, three, four Kick that fucker out the door  Got to got to know Got to got to know Got to got to know Got to got to know Got to got to know Got to got to know Got to got to know Got to got to know Got to got to know Got to got to know Got to got to know Got to got to know|Post-Punk|sad|negative
God Don't Never Change|Blind Willie Johnson|[Chorus] Yes God, God don't never change He's God, always will be God  [Verse 1] God in the middle of the ocean God in the middle of the sea By the help of the great creator Truly been a God to me  [Chorus] He's God, God don't never change God, always will be God  [Verse 2] God in creation God a-when Adam fell God way up in heaven God way down in hell  [Chorus] He's God, God don't never change God, always will be God  [Verse 3] Spoke a-to the mountain Said how great I am Once you to get up a-this morning Skip around like a lamb  [Chorus] Well he's God, God don't never change Oh, always will be God  [Verse 4] God in the time of sickness God in the doctor too In the time of the influenza He truly was a God to you  [Chorus] Well he's God, God don't never change He's God, always will be God  [Verse 5] God in the pulpit God way down at the door He's God in the amen corner God all over the floor  [Chorus] Well he's God, God don't never change Oh, always will be God|Blues|happy|positive
Until You Love Someone|Dean Martin|Until you find the one you want to want you Until you find her eyes constantly haunt you Until no other lips can ever thrill you You'll never know the glory of a heart in love  Until you're swept away with an emotion As high as stars above, as great as the ocean Don't say you've been in love for it isn't true Until you love someone as I love you  (Until you find the one As high as stars above) Don't say you've been in love for it isn't true Until you love someone as I love you  (I love you)|Pop|happy|positive
Death Don't Have No Mercy|Hot Tuna|Well now death don't have no mercy in this land Well now death don't have no mercy in this land He'll come to your house and he won't stay long Look 'round the room one of your family will be gone Death don't have no mercy in this land Death will leave you standin' and cryin' in this land Death will leave you standin' and cryin' in this land He'll come to your house and he won't stay long Look 'round the room one of your family will be gone Death don't have no mercy in this land Well death don't give you time to get ready in this land Well death don't give you time to get ready in this land He'll come to your house and he won't stay long Look 'round the room one of your mama will be gone Death don't have no mercy in this land Well now death don't have no mercy in this land Well now death don't have no mercy in this land He'll come to your house and he won't stay long Look 'round the room one of your family will be gone Death don't have no mercy in this land||sad|negative
Cherish The Day|Sade|You're ruling the way that I move and I breathe your air You only can rescue me, this is my prayer If you were mine, If you were mine I wouldn't want to go to heaven  I cherish the day, I won't go astray, I won't be afraid You won't catch me running  You're ruling the way that I move, you take my air You show me how deep love can be  You're ruling the way that I move and I breathe your air You only can rescue me, this is my prayer  I cherish the day, I won't go astray, I won't be afraid You won't catch me running I cherish the day, I won't go astray, I won't be afraid Won't run away  You show me how deep love can be You show me how deep love can be, this is my prayer  I cherish the day, I won't go astray, I won't be afraid Won't run away, won't shy I cherish the day, I won't go astray  I cherish the day I cherish the day I cherish the day I cherish the day I cherish the day|Soul|relaxed|positive
