term,arousal
arrogant,0.755
arsehole,0.598
arseholes,0.545
arsenal,0.741
arson,0.904
arsonist,0.84
arterial,0.51
artery,0.58
artful,0.608
arthritis,0.518
artifact,0.5
artifice,0.696
artillery,0.912
artiste,0.512
artistic,0.646
artists,0.667
asap,0.5
ascend,0.62
ascendancy,0.625
ascendant,0.673
ascending,0.644
ascension,0.72
ascent,0.627
ascertain,0.53
ascertained,0.529
ashamed,0.588
asphyxia,0.704
asphyxiation,0.745
aspiration,0.724
aspiring,0.582
ass,0.75
assail,0.51
assailant,0.868
assassin,0.933
assassinate,0.969
assassination,0.941
assault,0.848
assay,0.559
assemble,0.57
assembly,0.5
assemblyman,0.538
assent,0.515
assert,0.619
asserting,0.531
assess,0.5
assessment,0.623
assessor,0.538
asset,0.765
assets,0.613
asshole,0.582
assistance,0.519
association,0.5
asteroid,0.721
asteroids,0.694
asthma,0.549
asthmatic,0.706
astonish,0.845
astonished,0.775
astonishing,0.802
astonishingly,0.898
astonishment,0.718
astound,0.675
astray,0.676
astringent,0.5
astrologer,0.519
astronaut,0.601
astronomer,0.509
astronomical,0.632
astute,0.658
athlete,0.718
athletic,0.798
athleticism,0.863
athletics,0.691
atom,0.5
atomic,0.817
atone,0.673
atonement,0.602
atrocious,0.811
atrocity,0.844
atrophy,0.54
attack,0.948
attacker,0.962
attacking,0.837
attain,0.51
attainable,0.5
attainment,0.52
attempted,0.58
attendance,0.5
attention,0.599
attentionseeker,0.745
attentionseekers,0.673
attentive,0.52
attest,0.71
attestation,0.635
attitude,0.644
attorney,0.594
attract,0.663
attraction,0.774
attractive,0.63
attractiveness,0.667
attrition,0.54
auction,0.702
auctioneer,0.732
audacious,0.875
audacity,0.755
audience,0.61
audit,0.562
audition,0.685
auditions,0.765
auditor,0.571
augment,0.683
augmentation,0.613
auspices,0.5
auspicious,0.635
authentic,0.51
authenticity,0.548
authoritative,0.52
authority,0.592
authorization,0.567
authorize,0.596
authorship,0.635
autism,0.5
auto,0.569
autocratic,0.577
autograph,0.565
autographed,0.62
automobile,0.625
automotive,0.52
autopsy,0.65
availability,0.544
avalanche,0.915
avarice,0.726
avenge,0.867
avenger,0.865
avenging,0.88
averse,0.569
averseness,0.606
aversion,0.663
aviation,0.646
aviator,0.7
awakening,0.5
award,0.745
awards,0.736
awe,0.74
awed,0.774
awesome,0.897
awesomeness,0.647
awestruck,0.767
awful,0.786
awkward,0.65
awry,0.54
axe,0.69
ay,0.557
babe,0.536
babysit,0.587
baccalaureate,0.51
bachelorette,0.78
backfire,0.612
backhoe,0.554
backpacker,0.73
backroom,0.5
backtrack,0.525
backup,0.51
backwardness,0.5
bacteria,0.553
bacterial,0.5
bacterium,0.545
bad,0.625
badass,0.775
badfeeling,0.559
badhabit,0.594
badly,0.509
badness,0.823
baffled,0.6
bagman,0.5
bagpipes,0.556
bail,0.52
bailiff,0.519
bakery,0.5
ballerina,0.66
ballgame,0.79
ballistic,0.806
ballistics,0.787
ballpark,0.694
ballplayer,0.764
ballroom,0.635
ban,0.689
band,0.552
bandit,0.796
bandstand,0.536
bandwagon,0.651
bane,0.694
bang,0.951
banger,0.54
banish,0.677
banished,0.713
banishment,0.775
banker,0.588
bankroll,0.57
bankrupt,0.673
bankruptcy,0.696
banquet,0.571
banshee,0.565
banter,0.677
banzai,0.51
bar,0.531
barbarian,0.896
barbaric,0.798
barbarism,0.815
barbecue,0.643
barbed,0.594
bare,0.717
bargain,0.533
bargaining,0.64
baritone,0.529
bark,0.602
barkeep,0.5
barks,0.694
barman,0.61
barrack,0.5
barracuda,0.713
barrage,0.871
barred,0.741
barricade,0.667
barring,0.67
barrister,0.57
barroom,0.619
bartender,0.698
barter,0.559
baseball,0.76
baseball bat,0.567
basement,0.5
bash,0.546
basketball,0.764
bastard,0.692
bastarding,0.608
bastards,0.68
bastion,0.5
bate,0.525
battalion,0.818
battered,0.79
battering,0.798
battle,0.945
battled,0.794
battlefield,0.918
battleground,0.958
battleship,0.75
batty,0.619
bawdy,0.823
bawl,0.88
bayonet,0.775
bazooka,0.824
bday,0.6
beach,0.529
beaches,0.5
beaming,0.654
bear,0.57
bearer,0.547
bearish,0.549
beast,0.78
beastly,0.874
beat,0.647
beaten,0.846
beater,0.545
beating,0.833
beatnik,0.51
beautification,0.575
beautiful,0.614
beautify,0.592
beauty,0.6
become,0.583
bee,0.509
beehive,0.7
beep,0.541
beeper,0.72
beer,0.654
bees,0.635
befall,0.663
befriend,0.624
befuddled,0.714
beg,0.608
begin,0.569
beginning,0.528
beginnings,0.527
begrudge,0.731
begun,0.5
behappy,0.557
behemoth,0.781
beholden,0.555
belch,0.562
believed,0.562
bell,0.51
belligerent,0.68
bellows,0.515
bellyful,0.806
beloved,0.613
bender,0.51
bending,0.565
benefactor,0.578
beneficial,0.579
bequeath,0.5
bereavement,0.677
berserk,0.556
beset,0.717
bestdayever,0.646
bestfeeling,0.509
bestfriends,0.662
bestial,0.761
besties,0.509
bestow,0.56
bestseller,0.643
bet,0.698
betray,0.87
betrayal,0.719
betrayed,0.769
betrothed,0.63
betterment,0.536
betting,0.804
beware,0.596
bewilder,0.571
bewildered,0.63
bewilderment,0.716
biceps,0.588
bicker,0.643
bickering,0.8
bicycle,0.519
bid,0.53
bidding,0.644
bifurcation,0.625
big,0.588
bigamy,0.696
bigday,0.689
biggestfear,0.73
bighorn,0.547
bigmouth,0.577
bigot,0.745
bigoted,0.76
bigotry,0.737
bike,0.5
biker,0.71
bikini,0.639
billet,0.583
billiard,0.616
billiards,0.559
billion,0.564
billionaire,0.667
binge,0.65
bingo,0.667
biochemistry,0.531
bionic,0.57
biopsy,0.657
bipolar,0.685
birdman,0.567
birth,0.655
birthday,0.844
birthing,0.877
bisexual,0.765
bitch,0.74
bitchy,0.7
bite,0.796
biter,0.598
bitter,0.627
bitterly,0.685
bitterness,0.633
bittersweet,0.569
bizarre,0.62
blabbermouth,0.64
black snake,0.86
blacken,0.5
blackjack,0.679
blacklist,0.75
blackmail,0.802
blackmailer,0.78
blackout,0.53
blacksmith,0.531
blade,0.602
blame,0.64
blare,0.561
blasphemous,0.755
blasphemy,0.794
blast,0.929
blaster,0.538
blastoff,0.865
blatant,0.677
blazing,0.896
bleed,0.843
bleeder,0.852
bleeding,0.817
bleep,0.667
blemish,0.558
blender,0.534
blight,0.771
blighted,0.615
blindfold,0.684
blindfolded,0.564
blinding,0.596
blindly,0.598
bliss,0.5
blissful,0.639
blister,0.538
blistering,0.569
blitz,0.722
blizzard,0.726
bloat,0.694
bloated,0.593
blockade,0.519
blockage,0.608
blockbuster,0.676
blonde,0.545
blood,0.684
bloodbath,0.971
bloodline,0.657
bloodshed,0.942
bloodshot,0.81
bloodstream,0.53
bloodthirsty,0.804
bloody,0.91
bloomers,0.587
blotched,0.562
blow,0.75
blower,0.55
blowjob,0.784
blown,0.548
blowout,0.792
blowtorch,0.73
bluddy,0.528
bluejay,0.52
blunder,0.635
blunt,0.68
blush,0.61
blushing,0.789
boa,0.569
boa constrictor,0.784
boar,0.5
boardroom,0.566
boast,0.586
boastful,0.806
boasting,0.62
boating,0.613
boatman,0.573
bobsled,0.613
bodyguard,0.71
bogey,0.519
bogeyman,0.708
bohemian,0.5
boil,0.684
boiler,0.59
boilerplate,0.519
boiling,0.69
boisterous,0.806
boldness,0.684
bomb,0.912
bombard,0.961
bombardier,0.863
bombardment,0.959
bombed,0.851
bomber,0.837
bombers,0.92
bombing,0.963
bombshell,0.868
bonbon,0.551
bond,0.519
bondage,0.705
bonehead,0.521
boner,0.612
bonfire,0.719
bong,0.566
bonkers,0.847
bonnet,0.509
bonus,0.62
boo,0.676
boob,0.6
booger,0.537
boogeyman,0.559
boogie,0.543
bookie,0.633
booking,0.503
bookmaker,0.804
boom,0.655
boomer,0.539
boomerang,0.625
booming,0.554
boooo,0.549
boost,0.73
booster,0.6
boot,0.65
bootleg,0.519
bootlegger,0.649
booty,0.587
booze,0.745
bopper,0.53
borderline,0.52
borer,0.549
born,0.509
borrow,0.573
bosom,0.588
boss,0.627
bossy,0.824
bother,0.78
bothering,0.764
botulism,0.575
bounce,0.633
bouncer,0.653
bouncy,0.565
bound,0.667
boundless,0.642
bountiful,0.596
bounty,0.755
bourgeois,0.593
bout,0.808
bowler,0.633
boxer,0.81
boxers,0.88
boxing,0.854
boycott,0.69
boyfriend,0.604
boyhood,0.745
boyish,0.562
bra,0.529
brag,0.545
brains,0.557
brainstorm,0.784
brainwash,0.647
brainy,0.52
brandy,0.59
brash,0.814
bravado,0.51
brave,0.75
bravery,0.745
brawl,0.938
brazen,0.64
breach,0.745
breakable,0.667
breakaway,0.802
breaker,0.527
breakers,0.588
breaking and entering,0.729
breakingnews,0.552
breakneck,0.833
breakthrough,0.525
breakup,0.72
breathtaking,0.792
breech,0.637
brew,0.538
brewery,0.622
brewing,0.593
bribe,0.69
bribery,0.775
bridal,0.655
bride,0.708
bridegroom,0.736
bridesmaid,0.519
brig,0.539
brigade,0.71
bright,0.527
brighten,0.547
brightens,0.611
brighter,0.698
brightness,0.623
brilliance,0.673
brilliant,0.575
brimming,0.69
brimstone,0.52
brisk,0.745
broadcast,0.587
broadcasting,0.7
broaden,0.602
broadsword,0.573
broke,0.59
broken,0.5
brokenheart,0.577
brokenhearted,0.598
brokerage,0.5
bronco,0.51
brood,0.519
brothel,0.886
browse,0.75
brrr,0.54
bruise,0.64
bruising,0.52
brunette,0.528
brunt,0.75
brutal,0.882
brutality,0.832
brute,0.547
brutish,0.837
bubbly,0.608
bubonic,0.53
buck,0.577
buckshot,0.74
budding,0.5
buddy,0.585
budge,0.755
buffalo,0.528
buffet,0.546
buffoon,0.651
bug,0.5
bugger,0.627
buggy,0.509
bugle,0.588
bugler,0.54
build,0.546
builder,0.642
buildup,0.509
bulimic,0.57
bulky,0.591
bull,0.64
bulldog,0.65
bulldozer,0.549
bullet,0.794
bulletproof,0.721
bullfighter,0.794
bullheaded,0.74
bullhorn,0.653
bullion,0.558
bullpen,0.549
bullshit,0.676
bully,0.755
bulwark,0.552
bummer,0.5
bumper,0.573
bumpy,0.683
bungee,0.545
bunker,0.673
burden,0.583
burdened,0.519
burdensome,0.696
bureaucracy,0.578
bureaucrat,0.519
bureaucratic,0.63
burger,0.568
burglar,0.769
burglary,0.918
burial,0.577
buried,0.53
burlesque,0.615
burly,0.65
burn,0.783
burned,0.603
burner,0.816
burning,0.76
burnished,0.58
burnt,0.713
burp,0.594
burst,0.894
bury,0.571
business,0.569
business man,0.598
businessman,0.51
businesswoman,0.5
buss,0.5
bust,0.5
busted,0.676
bustle,0.814
bustling,0.85
busy,0.5
busybody,0.634
butcher,0.575
butt,0.725
butterscotch,0.51
buttock,0.6
buttocks,0.677
buttress,0.684
buxom,0.719
buy,0.769
buyer,0.519
buying,0.784
buzz,0.686
buzzard,0.5
buzzed,0.549
buzzer,0.716
buzzing,0.588
cabaret,0.656
caboodle,0.521
cabriolet,0.525
cacophony,0.562
cadaver,0.69
caffeine,0.759
cahoots,0.696
cakewalk,0.51
calamitous,0.685
calamity,0.795
caliber,0.551
calipers,0.51
calisthenics,0.663
call,0.627
callback,0.529
caller,0.615
calling,0.59
callous,0.5
calorie,0.54
calorimeter,0.56
camaraderie,0.51
camouflage,0.585
camp,0.617
campaign,0.73
campaigner,0.698
campaigning,0.663
camper,0.529
campfire,0.509
camping,0.529
cancer,0.694
candidacy,0.657
candlestick,0.531
canine,0.569
cannabis,0.5
cannibal,0.824
cannibalism,0.89
cannon,0.676
cannonball,0.84
canon,0.519
canons,0.588
cantbreathe,0.667
canteen,0.6
canthandleit,0.613
cantilever,0.618
cantina,0.612
cantstandit,0.546
cantwin,0.509
canyon,0.731
capability,0.571
capable,0.587
capital,0.5
capitalism,0.686
capitalist,0.577
capitalize,0.601
capitals,0.5
capitation,0.529
capitulation,0.546
caprice,0.64
capricious,0.65
captain,0.653
captivate,0.604
captivating,0.594
captive,0.558
captor,0.625
capture,0.65
car,0.54
carat,0.604
caravan,0.559
carburetor,0.612
carcass,0.529
carcinoma,0.692
cardiac,0.765
cardiologist,0.63
cardiology,0.545
cardiomyopathy,0.645
career,0.712
careful,0.538
caretaker,0.531
caries,0.569
carjack,0.682
carnage,0.6
carnal,0.679
carnival,0.888
carnivorous,0.613
carousel,0.5
carpenter,0.55
carpool,0.509
carriage,0.538
carrier,0.588
carrying,0.557
carsick,0.574
cartridge,0.5
carver,0.5
cascade,0.509
cash,0.552
casino,0.684
cast,0.62
castaway,0.646
caster,0.67
castration,0.735
catabolism,0.573
catalysis,0.559
catalyst,0.509
catalytic,0.519
catamaran,0.566
catapult,0.83
cataract,0.545
catastrophe,0.952
catastrophic,0.934
catatonic,0.5
catching,0.788
cater,0.5
caterer,0.557
cathartic,0.51
caulk,0.5
caused,0.52
caution,0.712
cautionary,0.541
cavalry,0.727
caveat,0.629
caveman,0.644
cavernous,0.548
ceasefire,0.594
ceaseless,0.704
celebrant,0.656
celebrate,0.857
celebrated,0.69
celebrating,0.86
celebration,0.824
celebrations,0.794
celebratory,0.653
celebrity,0.619
cellblock,0.57
cellist,0.5
cellmate,0.684
cemetery,0.63
censorship,0.698
censure,0.653
centrifugal,0.651
centrifuge,0.622
cerebral,0.509
ceremonial,0.54
ceremony,0.559
cha cha,0.546
chagrin,0.704
chagrined,0.745
chain,0.5
chainsaw,0.804
chairman,0.567
chairperson,0.657
chairwoman,0.664
challenge,0.922
challenger,0.755
chameleon,0.58
champ,0.754
champagne,0.6
champion,0.88
championship,0.8
chance,0.551
chancellor,0.5
chandelier,0.542
change,0.575
changer,0.519
changing,0.569
chant,0.698
chaos,0.923
chaotic,0.847
chaperon,0.52
chapman,0.529
charade,0.55
chardonnay,0.567
charge,0.633
chargeable,0.55
chariot,0.55
charisma,0.591
charismatic,0.684
charlatan,0.64
charmed,0.57
charmer,0.683
charming,0.66
charred,0.676
chase,0.878
chased,0.83
chaser,0.83
chasm,0.579
chastened,0.58
chastisement,0.852
chatterbox,0.548
chattering,0.663
chatty,0.548
chauvinist,0.539
cheapened,0.611
cheat,0.776
cheater,0.92
check,0.552
checklist,0.521
checkmate,0.708
checkout,0.51
cheeky,0.679
cheer,0.784
cheered,0.648
cheerful,0.72
cheerfulness,0.802
cheering,0.824
cheerleader,0.746
cheerleading,0.769
cheers,0.77
cheery,0.657
cheeseburger,0.529
cheetah,0.77
chemical,0.56
chemist,0.575
chemistry,0.52
chemo,0.686
chemotherapy,0.689
cheque,0.529
chic,0.624
chick,0.602
chicken pox,0.51
chickenpox,0.562
chief,0.544
chiefly,0.587
chieftain,0.529
childbirth,0.861
childloss,0.571
children,0.538
chili,0.566
chilling,0.85
chime,0.541
chimera,0.582
chimp,0.588
chimpanzee,0.633
chipmunk,0.562
chipper,0.588
chiropractor,0.549
chirp,0.602
chiseler,0.606
choice,0.52
choke,0.788
cholera,0.867
cholesterol,0.583
choose,0.542
choosing,0.529
choosy,0.76
chop,0.655
chopper,0.56
choppers,0.745
chopping,0.625
choreographer,0.639
choreography,0.75
christ,0.51
christmas,0.52
christmasbreak,0.64
christmasspirit,0.602
christmassy,0.698
christmastime,0.588
chromatography,0.537
chronic,0.615
chronicle,0.571
chuck,0.509
chuckle,0.736
chunky,0.517
chute,0.745
cigarette,0.528
cinema,0.538
cinematography,0.571
circling,0.654
circuitry,0.615
circulation,0.52
circulatory,0.575
circumcision,0.657
circumscribed,0.539
circumstance,0.565
circumstances,0.527
circumstantial,0.538
circumvent,0.642
circumvention,0.571
circus,0.637
cirque,0.647
cirrhosis,0.602
citation,0.549
city,0.531
citywide,0.509
claim,0.76
claimant,0.69
clairvoyant,0.531
clambake,0.54
clamor,0.643
clandestine,0.677
clang,0.52
clap,0.731
clapping,0.894
clarify,0.535
clash,0.918
clashing,0.764
classic rock,0.571
clatter,0.82
claustrophobia,0.84
claustrophobic,0.755
claw,0.6
claws,0.698
cleaner,0.556
cleavage,0.602
cleave,0.545
cleaver,0.627
clench,0.618
clerk,0.579
cleverness,0.509
clientele,0.577
cliff,0.62
climax,0.853
climb,0.66
climber,0.716
clinch,0.538
cling,0.62
clipping,0.5
clitoris,0.844
cloaking,0.595
clobber,0.578
clog,0.618
cloning,0.696
clot,0.558
clout,0.636
clown,0.598
clowns,0.673
club,0.618
clubhouse,0.571
clubs,0.53
clutch,0.5
clutter,0.598
coach,0.823
coagulation,0.558
coalition,0.73
coaster,0.788
cobra,0.712
cocaine,0.84
cock,0.562
cockamamie,0.5
cockroach,0.667
cocksucker,0.764
cocky,0.784
codeine,0.582
coed,0.531
coerce,0.741
coercion,0.708
coercive,0.67
cognac,0.51
cohabitation,0.526
cohesion,0.536
cohort,0.551
coiled,0.518
coin,0.574
cold,0.538
colic,0.736
coliseum,0.663
collaboration,0.628
collapse,0.689
collectively,0.573
collide,0.892
collision,0.848
collusion,0.51
colonel,0.592
colonoscopy,0.524
coloration,0.52
colorful,0.52
colossal,0.692
colt,0.587
columbine,0.521
combat,0.846
combatant,0.853
combative,0.69
combustible,0.65
combustion,0.807
comedian,0.735
comedy,0.555
comet,0.679
comical,0.737
comics,0.556
command,0.79
commandant,0.7
commandeer,0.639
commander,0.615
commanding,0.664
commando,0.71
commemorate,0.602
commemoration,0.615
commence,0.585
commend,0.694
commendable,0.57
commendation,0.5
commentator,0.51
commerce,0.5
commie,0.519
commissary,0.5
commit,0.529
commitment,0.71
committal,0.519
committed,0.542
commodore,0.53
commotion,0.7
communicative,0.56
communicator,0.509
communism,0.57
communist,0.702
commute,0.582
commuter,0.52
compel,0.847
compelled,0.654
compelling,0.57
compete,0.745
competence,0.802
competency,0.775
competent,0.56
competition,0.79
competitive,0.718
competitor,0.959
compilation,0.512
complacency,0.503
complain,0.682
complaint,0.606
completing,0.5
complex,0.608
complexed,0.577
complexion,0.52
complexity,0.62
complicate,0.657
complicated,0.66
complication,0.726
complicity,0.684
composer,0.588
compression,0.521
compromise,0.52
compulsion,0.76
compulsive,0.871
compulsory,0.541
con,0.736
concatenation,0.593
concealment,0.57
conceit,0.625
conceited,0.667
conceive,0.538
concentration,0.5
concern,0.734
concerned,0.698
concert,0.867
concerto,0.759
concours,0.53
concourse,0.657
concubine,0.594
concurrence,0.627
concurrent,0.547
concurring,0.6
concussion,0.708
condemn,0.793
condemnation,0.725
condom,0.637
conduct,0.51
conduction,0.557
conductivity,0.575
conductor,0.663
confederacy,0.541
confederate,0.546
conference,0.615
confess,0.712
confession,0.642
confessions,0.538
confetti,0.573
confidant,0.633
confine,0.551
confinement,0.656
confirmatory,0.5
confiscate,0.625
confiscation,0.706
conflagration,0.721
conflict,0.906
conflicting,0.738
confluence,0.598
confound,0.529
confounded,0.528
confront,0.76
confrontation,0.87
confuse,0.58
confused,0.65
confusing,0.69
confusion,0.667
conga,0.529
congestion,0.654
conglomerate,0.5
conglomeration,0.72
congrats,0.726
congratulate,0.724
congratulation,0.78
congratulations,0.755
congratulatory,0.616
congregate,0.53
conjugal,0.51
conjure,0.679
conjuring,0.653
connected,0.55
connection,0.56
conquer,0.873
conquering,0.873
conqueror,0.809
conquest,0.702
conscription,0.775
consecrated,0.5
consent,0.5
consequence,0.721
consistency,0.5
consort,0.509
conspicuous,0.52
conspiracy,0.787
conspirator,0.786
conspire,0.74
constable,0.667
constantly,0.561
constellation,0.533
consternation,0.68
constipation,0.612
constituent,0.5
constrain,0.5
constrained,0.537
constraint,0.55
construct,0.648
construction,0.612
constructive,0.57
construe,0.519
consume,0.62
consumer,0.551
consuming,0.541
consummate,0.54
consummation,0.676
consumption,0.531
contagion,0.63
contagious,0.725
contaminate,0.611
contaminated,0.5
contamination,0.61
contempt,0.635
contemptible,0.657
contemptuous,0.5
contend,0.657
contender,0.79
contending,0.698
contented,0.612
contention,0.51
contentious,0.573
contentment,0.61
contest,0.698
contestant,0.53
contingency,0.5
contingent,0.531
continuance,0.51
continuing,0.5
continuous,0.509
contraband,0.875
contraception,0.518
contracted,0.557
contractile,0.586
contraction,0.755
contradict,0.598
contradiction,0.66
contradictory,0.651
contraption,0.59
