term,arousal
arty,0.422
asbestos,0.481
ascetic,0.375
ash,0.21
ashes,0.279
ashtray,0.382
asinine,0.472
ask,0.44
asleeep,0.21
asleep,0.1
asp,0.489
asparagus,0.317
aspartame,0.48
aspect,0.469
aspects,0.48
aspen,0.28
asphalt,0.264
aspire,0.469
aspirin,0.271
assemblage,0.452
assembled,0.45
assertion,0.442
assertive,0.412
assign,0.417
assignee,0.462
assignment,0.398
assimilate,0.391
assimilation,0.378
assist,0.435
assistant,0.39
associate,0.409
assorted,0.46
assortment,0.36
assuage,0.255
assume,0.401
assumed,0.247
assuming,0.39
assumption,0.431
assurance,0.442
assure,0.46
assured,0.327
assuredly,0.396
asterisk,0.288
astigmatism,0.49
astral,0.417
astrology,0.34
astronomy,0.474
asunder,0.442
asylum,0.33
asymmetric,0.343
asymmetry,0.373
asymptotic,0.451
atelier,0.33
atheism,0.46
atheist,0.447
atheistic,0.481
atherosclerosis,0.48
atlas,0.306
atmosphere,0.3
atmospheric,0.42
atoll,0.408
atpeace,0.298
atrium,0.365
attach,0.363
attached,0.35
attachment,0.343
attempt,0.491
attend,0.42
attendant,0.365
attenuate,0.302
attenuated,0.28
attenuation,0.363
attic,0.259
attire,0.388
attributable,0.43
attribute,0.439
attribution,0.467
auburn,0.24
audible,0.37
audio,0.425
auditorium,0.49
auditory,0.481
aught,0.135
august,0.292
aunt,0.291
auntie,0.275
aura,0.333
aurora,0.306
austere,0.39
austerity,0.406
authenticate,0.48
authentication,0.491
author,0.343
authorized,0.458
autistic,0.337
autobiographical,0.462
autobiography,0.284
autocorrect,0.439
automated,0.402
automatic,0.433
autonomy,0.349
autopilot,0.462
autumn,0.204
auxiliary,0.471
avail,0.43
available,0.356
avatar,0.41
avenue,0.36
aver,0.45
average,0.28
aversation,0.442
avert,0.388
aviary,0.36
avid,0.459
avocado,0.255
avoid,0.442
avoidance,0.481
avoiding,0.433
await,0.264
awake,0.469
awaken,0.412
aware,0.34
awareness,0.422
awkwardness,0.454
awning,0.186
axial,0.278
axiom,0.441
axiomatic,0.392
axis,0.25
axle,0.294
aye,0.42
azimuth,0.461
azure,0.256
babble,0.441
babbling,0.418
baboon,0.41
baby,0.365
babysitter,0.415
baccarat,0.497
bachelor,0.406
back,0.353
backboard,0.259
backbone,0.464
backdoor,0.41
backdrop,0.309
backer,0.375
backgammon,0.41
background,0.357
backhand,0.449
backoff,0.396
backpack,0.278
backseat,0.33
backside,0.417
backward,0.367
backwards,0.372
backwater,0.41
backwoods,0.35
backyard,0.28
bacon,0.406
badday,0.449
badge,0.488
badger,0.429
baffle,0.442
bag,0.25
bagel,0.363
baggage,0.363
baggie,0.427
baggy,0.278
bait,0.327
bake,0.418
baking,0.455
bal,0.412
balance,0.265
balanced,0.255
balcony,0.392
bald,0.184
balding,0.363
baldy,0.385
bale,0.363
balk,0.451
ball,0.427
ballad,0.284
ballast,0.423
ballet,0.48
balloon,0.245
ballot,0.361
ballpoint,0.337
ballsy,0.491
balm,0.275
balmy,0.327
balsam,0.25
balsamic,0.283
bam,0.472
bamboo,0.222
banana,0.23
bandage,0.327
bandanna,0.276
bandwidth,0.337
banister,0.41
banjo,0.4
bank,0.327
banking,0.327
banner,0.408
baptism,0.384
baptismal,0.343
baptize,0.426
barb,0.365
barber,0.459
barbershop,0.441
barbie doll,0.37
bard,0.41
bareback,0.356
barefoot,0.373
barely,0.183
barf,0.491
barge,0.388
barium,0.353
barley,0.212
barmaid,0.472
barn,0.452
barnacle,0.337
barney,0.378
barnyard,0.353
barometer,0.273
baron,0.358
baroness,0.453
baroque,0.357
barrel,0.298
barren,0.373
barrier,0.48
barrow,0.363
base,0.298
baseboard,0.198
baseless,0.382
baseline,0.367
baseman,0.449
bases,0.236
bashful,0.406
basic,0.102
basics,0.311
basil,0.274
basilica,0.302
basin,0.231
basis,0.26
bask,0.33
basket,0.227
bass,0.206
bass guitar,0.37
basso,0.42
bassoon,0.433
bat,0.409
batch,0.357
batching,0.42
bath,0.26
bathe,0.294
bathhouse,0.38
bathing,0.276
bathrobe,0.442
bathroom,0.283
bathtub,0.24
bathymetry,0.48
baton,0.235
batter,0.245
battery,0.425
battlements,0.441
bauble,0.429
bay,0.365
bayou,0.431
bazaar,0.34
be,0.24
beacon,0.407
bead,0.388
beading,0.32
beads,0.388
beady,0.417
beagle,0.47
beak,0.363
beaker,0.41
beam,0.349
bean,0.269
beanbag,0.38
beanie,0.23
bearable,0.375
beard,0.261
bearded,0.337
bearing,0.367
bearings,0.49
bearskin,0.398
beau,0.44
beaver,0.344
bebop,0.49
beck,0.375
beckon,0.455
bed,0.173
bedding,0.276
bedpan,0.4
bedrock,0.34
bedroom,0.296
bedside,0.167
bedspread,0.139
bedtime,0.314
beef,0.312
beefsteak,0.391
beeswax,0.402
beetle,0.356
befitting,0.333
beggar,0.402
begging,0.461
beginner,0.48
behave,0.363
behavior,0.442
behavioral,0.44
behest,0.35
behold,0.284
beholder,0.491
beige,0.222
belated,0.4
belay,0.472
belief,0.375
believable,0.39
believe,0.37
believer,0.445
believing,0.418
belittle,0.417
belittled,0.392
bellboy,0.363
bellhop,0.287
bellman,0.25
bellow,0.337
belly,0.388
bellybutton,0.283
belong,0.405
belongings,0.38
belt,0.322
beluga,0.333
bemused,0.49
bench,0.289
bend,0.324
beneath,0.173
benedictory,0.438
beneficiary,0.399
benefit,0.422
benevolence,0.34
benevolent,0.407
benign,0.44
bent,0.453
benzene,0.459
bequest,0.398
bereaved,0.479
bereft,0.49
beret,0.24
bergamot,0.365
berlin,0.423
berth,0.337
beryllium,0.412
beseech,0.441
beta,0.37
betty,0.358
bevel,0.406
beverage,0.49
bevy,0.46
bias,0.37
biased,0.302
bib,0.396
bible,0.225
biblical,0.304
bibliography,0.204
bicarbonate,0.337
bicentennial,0.423
bicolor,0.327
bidder,0.474
bide,0.407
biennial,0.309
bier,0.448
biggie,0.481
bilateral,0.343
bilayer,0.398
bile,0.461
bilge,0.392
bilingual,0.49
bill,0.402
billboard,0.317
billing,0.481
billy,0.397
bimbo,0.37
bimonthly,0.298
bin,0.304
binary,0.356
bind,0.462
binder,0.25
bindery,0.388
binding,0.425
bing,0.453
binocular,0.344
binoculars,0.309
binomial,0.406
bio,0.225
biochemical,0.481
biochemist,0.449
biogenesis,0.442
biographer,0.427
biography,0.229
biological,0.41
biologist,0.453
biology,0.274
biosphere,0.351
bipartite,0.48
birch,0.346
bird,0.357
birdcage,0.398
birdie,0.394
birthmark,0.461
birthplace,0.29
birthright,0.417
bis,0.42
biscuit,0.26
bishop,0.184
bison,0.433
bisque,0.443
bistro,0.472
bit,0.31
bitsy,0.388
bitty,0.271
bitumen,0.235
biweekly,0.337
biz,0.473
blab,0.425
black,0.339
blackberry,0.413
blackbird,0.34
blackboard,0.255
blackface,0.49
blackness,0.48
bladder,0.412
blameless,0.196
bland,0.226
blank,0.229
blanket,0.132
blase,0.31
blather,0.481
blaze,0.467
blazer,0.385
bleach,0.282
bleak,0.427
blemished,0.469
blend,0.452
blending,0.418
bless,0.269
blessed,0.279
blessing,0.264
blessings,0.361
bleu,0.354
blimp,0.41
blind,0.36
blinded,0.471
blindness,0.48
blink,0.316
blip,0.461
blob,0.376
block,0.35
blockhead,0.333
blog,0.39
bloke,0.479
blond,0.49
bloodhound,0.462
bloodless,0.39
bloom,0.453
blooming,0.452
blossom,0.275
blot,0.304
blotter,0.298
blouse,0.19
blowfish,0.42
blowing,0.472
blubber,0.26
blue,0.137
blue spruce,0.335
blueberry,0.185
bluebird,0.35
bluegrass,0.441
blueprint,0.173
blues,0.22
bluff,0.286
bluish,0.245
blur,0.471
blurred,0.367
blurry,0.385
blurt,0.439
board,0.255
board game,0.49
boarder,0.44
boarding,0.402
boards,0.27
boardwalk,0.481
boat,0.42
boathouse,0.38
boatload,0.415
bobbin,0.472
bobcat,0.49
bode,0.406
bodega,0.307
bodice,0.471
bodily,0.481
body,0.461
bog,0.361
bogus,0.353
bold,0.271
bollocks,0.471
bolster,0.471
bolt,0.363
bolus,0.491
bonanza,0.41
bonding,0.442
bonds,0.472
bondsman,0.497
bone,0.37
bones,0.343
bonne,0.395
bonny,0.404
bonsai,0.235
bony,0.462
booby,0.423
book,0.21
bookcase,0.221
bookish,0.236
bookkeeper,0.363
bookkeeping,0.214
booklet,0.27
bookmark,0.441
books,0.115
bookseller,0.317
bookshop,0.291
bookstore,0.18
bookworm,0.337
boon,0.294
booth,0.4
boots,0.255
bop,0.49
border,0.382
bordering,0.382
bore,0.44
boreal,0.348
bored,0.167
boredom,0.139
boring,0.217
boron,0.37
borough,0.343
borrower,0.423
boston,0.38
botanical,0.259
botanist,0.24
botany,0.201
bottle,0.236
bottleneck,0.471
bottling,0.333
bottom,0.37
bottomless,0.47
boulder,0.309
boundary,0.427
bounds,0.426
bouquet,0.352
bourbon,0.49
bourgeoisie,0.417
bourse,0.23
boutique,0.49
bouttime,0.373
bovine,0.255
bow,0.306
bowed,0.418
bowel,0.417
bowels,0.448
bowl,0.377
bowling,0.431
bowls,0.28
box,0.179
boxcar,0.469
boy,0.392
boysenberry,0.409
bozo,0.364
brace,0.385
bracelet,0.34
braces,0.337
brachial,0.363
bracket,0.35
brackets,0.281
brackish,0.368
brad,0.385
braid,0.222
brain,0.441
brainless,0.31
brake,0.481
bran,0.433
branch,0.206
branching,0.422
brand,0.284
brass,0.32
brass knuckle,0.449
brassiere,0.469
brat,0.44
bratwurst,0.49
brawn,0.402
bread,0.314
breadth,0.49
break,0.265
breakdown,0.423
breakfast,0.33
breast,0.429
breath,0.392
breathe,0.373
breather,0.471
breathless,0.49
breeches,0.457
breed,0.441
breeder,0.481
breeding,0.481
breeze,0.284
breezy,0.472
brethren,0.38
breve,0.365
brevity,0.434
briar,0.375
brick,0.418
bridge,0.324
bridle,0.367
brief,0.3
briefcase,0.206
briefing,0.333
briefly,0.314
brim,0.333
brine,0.481
bring,0.46
brink,0.413
brisket,0.378
bristle,0.375
brittle,0.49
bro,0.349
broach,0.439
broad,0.365
broadside,0.316
brocade,0.327
broccoli,0.2
brochure,0.226
broil,0.404
broker,0.462
bromide,0.425
bronze,0.333
brooch,0.26
brooding,0.367
brook,0.347
broom,0.154
broomstick,0.265
broth,0.245
brother,0.361
brotherhood,0.471
brotherly,0.306
brow,0.311
brown,0.202
brownstone,0.423
brunch,0.363
brush,0.265
bubble,0.213
bubbling,0.438
buckaroo,0.469
bucket,0.167
buckle,0.373
buckled,0.358
bucko,0.455
buckwheat,0.471
bud,0.402
buddha,0.198
buddhism,0.115
buddhist,0.182
budget,0.396
buff,0.425
buffer,0.474
buffering,0.468
bugaboo,0.491
bugged,0.439
building,0.288
buildings,0.38
bulb,0.208
bulbous,0.442
bulge,0.487
bulk,0.413
bulkhead,0.425
bulletin,0.294
bullfrog,0.481
bullock,0.402
bum,0.451
bumblebee,0.493
bummed,0.43
bump,0.458
bun,0.306
bunch,0.358
bundle,0.343
bungalow,0.352
bunghole,0.426
bunion,0.34
bunk,0.332
bunkhouse,0.414
bunny,0.325
bunt,0.422
buoy,0.28
buoyancy,0.373
buoyant,0.441
bur,0.353
bureau,0.373
burke,0.441
burlap,0.462
burnout,0.445
burr,0.426
burrito,0.294
burro,0.356
burrow,0.28
bursary,0.462
bus,0.411
busboy,0.453
bush,0.22
bushel,0.387
bushy,0.321
busload,0.481
buster,0.491
butane,0.483
butler,0.225
butter,0.292
buttercup,0.482
butterfly,0.327
buttermilk,0.311
buttery,0.318
button,0.22
bye,0.398
bygone,0.31
bylaw,0.373
byline,0.45
bypass,0.418
bystander,0.462
byte,0.38
byzantine,0.443
cab,0.49
cabal,0.406
cabana,0.296
cabbage,0.225
cabbie,0.417
cabernet,0.42
cabin,0.292
cabinet,0.306
cable,0.245
caboose,0.453
cache,0.348
cactus,0.412
cad,0.406
caddie,0.435
caddy,0.47
cadence,0.473
cadet,0.393
cafe,0.392
cafeteria,0.4
cage,0.333
cagey,0.363
cairn,0.435
cake,0.375
calamari,0.312
calcareous,0.368
calcium,0.346
calculate,0.452
calculated,0.425
calculating,0.43
calculation,0.453
calculator,0.283
calculus,0.36
calendar,0.212
calender,0.275
calf,0.366
calibrate,0.46
calico,0.338
calligraphy,0.216
calls,0.431
calm,0.1
calming,0.105
calmness,0.105
caloric,0.483
cam,0.363
camber,0.382
camcorder,0.422
camel,0.282
cameo,0.457
camera,0.288
cameraman,0.452
camisole,0.25
camouflaged,0.422
campsite,0.49
campus,0.388
can,0.36
can opener,0.491
canal,0.259
canary,0.276
cancel,0.306
canceling,0.47
cancellation,0.431
candid,0.349
candidate,0.49
candied,0.33
candle,0.221
candlelight,0.294
candles,0.206
candor,0.389
candy,0.425
cane,0.298
canister,0.271
canker,0.469
canned,0.357
canning,0.392
canoe,0.3
canonical,0.41
canopy,0.264
cantaloupe,0.212
canterbury,0.438
canto,0.461
canton,0.472
canvas,0.09
canvass,0.356
cap,0.24
capacity,0.411
cape,0.235
caper,0.37
capillary,0.365
capitol,0.375
cappuccino,0.279
caps,0.221
capslock,0.394
capsule,0.29
caption,0.292
captivity,0.493
caramel,0.363
carbon,0.36
card,0.269
cardboard,0.173
cardigan,0.324
cardinal,0.358
cards,0.317
care,0.37
carefree,0.22
carefully,0.33
careless,0.431
carelessness,0.482
caress,0.418
caret,0.402
cargo,0.444
caribou,0.452
caricature,0.373
caring,0.469
carnation,0.357
carol,0.412
carols,0.42
carp,0.324
carpal,0.327
carpentry,0.459
carpet,0.17
carpeting,0.312
carried,0.382
carrot,0.235
carry,0.38
cart,0.344
carte,0.32
cartel,0.394
carter,0.48
cartilage,0.37
cartographic,0.348
cartography,0.3
carton,0.186
cartoon,0.471
cartouche,0.458
carve,0.443
carving,0.444
case,0.275
casein,0.436
cashier,0.413
cashmere,0.452
casing,0.327
cask,0.398
casket,0.49
casserole,0.36
cassette,0.334
caste,0.333
castle,0.396
castor,0.337
castrate,0.485
casual,0.224
casually,0.29
casualty,0.274
cat,0.26
catalog,0.221
catalogue,0.327
catch,0.437
catcher,0.413
catchphrase,0.423
catchy,0.441
catechism,0.236
categorical,0.442
category,0.264
caterpillar,0.286
cates,0.394
catfish,0.337
cathedral,0.33
catheter,0.491
catholic,0.24
cathouse,0.375
catnip,0.381
cattle,0.34
catwalk,0.436
caucus,0.311
caudal,0.425
cauldron,0.486
cauliflower,0.255
causal,0.367
causality,0.378
causation,0.48
cause,0.373
causeway,0.382
cautious,0.445
cautiously,0.388
cavalier,0.462
cave,0.333
cavern,0.36
caviar,0.394
caving,0.491
cavity,0.385
cayenne,0.306
cease,0.25
cedar,0.267
cede,0.327
ceiling,0.224
celery,0.147
celestial,0.36
celibacy,0.276
celibate,0.387
cell,0.375
cellar,0.277
cello,0.324
cellophane,0.282
cellular,0.398
cellulite,0.384
celluloid,0.44
cement,0.265
cemented,0.382
censor,0.276
census,0.289
cent,0.367
centenary,0.44
centennial,0.394
center,0.231
centerfold,0.407
centerpiece,0.208
centimeter,0.28
centipede,0.399
central,0.356
centrality,0.312
centralization,0.44
centralize,0.427
centrally,0.28
centurion,0.447
century,0.347
ceramic,0.255
ceramics,0.25
cereal,0.206
cereals,0.224
certain,0.358
certainty,0.4
certifiable,0.427
certificate,0.377
certified,0.422
certify,0.4
cervical,0.413
cervix,0.36
cess,0.375
cessation,0.385
cesspool,0.46
chaff,0.327
chafing,0.415
chai,0.375
chair,0.082
chaise,0.349
chalet,0.349
chalice,0.286
chalk,0.185
chamber,0.373
chambermaid,0.375
chambers,0.442
chandler,0.452
changeable,0.48
changed,0.375
channel,0.287
chap,0.41
chapel,0.24
chaplain,0.37
chaps,0.462
chapter,0.308
char,0.361
character,0.373
characteristic,0.328
characterize,0.471
charcoal,0.186
charger,0.418
charitable,0.38
charity,0.284
charm,0.363
chart,0.317
charter,0.382
chartered,0.46
chassis,0.342
chaste,0.248
chastity,0.392
chat,0.4
chateau,0.464
chatter,0.45
chauffeur,0.353
cheap,0.471
cheapskate,0.482
checkbook,0.284
checker,0.417
checkered,0.316
checkers,0.451
checkpoint,0.323
checkup,0.435
cheek,0.314
cheeks,0.324
cheep,0.38
cheerless,0.373
cheese,0.28
cheesecake,0.276
cheesy,0.471
chef,0.411
chemise,0.275
cherish,0.491
cherishing,0.38
cherry,0.186
cherub,0.34
chess,0.363
chest,0.429
chestnut,0.21
chevron,0.469
chew,0.49
chewy,0.418
chicane,0.46
chicken,0.306
chiffon,0.23
child,0.46
childhood,0.413
childish,0.442
childless,0.4
childlike,0.372
chill,0.206
chilled,0.34
chilly,0.459
chimes,0.49
chimney,0.286
chin,0.31
china,0.443
chinchilla,0.45
chine,0.36
chinook,0.497
chip,0.382
chipping,0.452
chirping,0.463
chisel,0.404
chit,0.352
chitchat,0.455
chivalry,0.38
chloride,0.387
chlorine,0.327
chloroform,0.37
chocolate,0.48
choir,0.298
chops,0.42
choral,0.29
chord,0.394
chords,0.406
chore,0.462
chorus,0.417
chosen,0.449
chow,0.49
chowder,0.324
christen,0.356
christening,0.382
christian,0.241
christmaseve,0.491
chromatic,0.413
chrome,0.373
chromium,0.404
chromosome,0.296
chronograph,0.392
chronological,0.445
chubby,0.427
chug,0.413
chum,0.347
chummy,0.42
chump,0.451
chunk,0.287
church,0.198
churchyard,0.444
churn,0.491
chutney,0.37
ciao,0.426
cider,0.346
cigar,0.463
cilantro,0.26
cinch,0.49
cinder,0.26
cinematic,0.49
cinematographer,0.455
cinnamon,0.25
cipher,0.414
circle,0.29
circuit,0.461
circular,0.342
circulate,0.388
circumference,0.255
circumferential,0.422
cirrus,0.451
cistern,0.413
citadel,0.464
cite,0.454
citizen,0.25
citizenship,0.404
citrine,0.4
citrus,0.368
civic,0.24
civics,0.279
civil,0.281
civilian,0.229
civilians,0.448
civility,0.306
civilization,0.452
civilized,0.231
clad,0.373
clam,0.302
clammy,0.44
clamp,0.388
clan,0.491
clapper,0.229
clarification,0.461
clarinet,0.453
clarion,0.443
clarity,0.31
clasp,0.375
class,0.314
classic,0.26
classical,0.198
classics,0.333
classification,0.423
classified,0.46
classify,0.411
classmate,0.4
classroom,0.292
classy,0.41
clause,0.409
clauses,0.429
clavicle,0.4
clay,0.25
clean,0.17
cleaning,0.396
cleanliness,0.363
cleanly,0.352
cleanse,0.31
cleanser,0.353
cleansing,0.298
cleanup,0.314
clear,0.327
clearance,0.459
clearing,0.333
clearness,0.316
cleat,0.26
clef,0.36
cleft,0.442
clemency,0.417
clergy,0.312
clergyman,0.33
cleric,0.324
clerical,0.396
clerkship,0.38
clever,0.353
click,0.365
clicker,0.49
client,0.45
climate,0.24
climatology,0.367
clingy,0.46
clinic,0.439
clinical,0.412
clink,0.462
clip,0.31
clipboard,0.255
clipper,0.422
clique,0.43
cloak,0.188
cloakroom,0.254
clock,0.173
clockwork,0.373
clod,0.404
cloister,0.413
clone,0.471
close,0.26
closed,0.164
closeness,0.237
closet,0.204
closure,0.22
cloth,0.19
clothe,0.33
clothes,0.27
clothesline,0.324
clothing,0.343
cloud,0.133
clouded,0.213
cloudiness,0.25
clouds,0.195
cloudy,0.28
clove,0.296
clover,0.34
cloves,0.218
cluck,0.49
clue,0.38
clueless,0.333
clump,0.48
clumsy,0.42
clunk,0.472
cluster,0.458
clutches,0.373
coachman,0.394
coal,0.241
coalesce,0.434
coarse,0.481
coast,0.396
coastal,0.37
coastline,0.282
coat,0.256
coating,0.44
coax,0.4
cobalt,0.325
cobble,0.385
cobbler,0.415
cockeyed,0.46
