term,dominance
alluring,0.843
ally,0.688
almighty,0.958
aloft,0.7
aloud,0.75
alpha,0.755
alphabet,0.672
alphabetical,0.535
altar,0.635
alter,0.654
alteration,0.609
altercation,0.5
altered,0.5
alternate,0.589
alternating,0.542
alternative,0.631
altimeter,0.58
altitude,0.736
alto,0.73
altogether,0.644
amalgam,0.51
amalgamation,0.531
amaze,0.783
amazed,0.533
amazedness,0.51
amazement,0.639
amazing,0.849
amazingly,0.92
ambassador,0.917
ambient,0.582
ambition,0.661
ambitious,0.717
ambulance,0.609
ambush,0.5
ameliorate,0.747
amen,0.542
amend,0.658
amendment,0.606
amends,0.517
amenity,0.574
amethyst,0.517
amicable,0.507
ammo,0.621
ammunition,0.667
amnesty,0.814
amorous,0.636
amortization,0.522
amount,0.649
amour,0.652
amphetamines,0.526
amphitheater,0.545
ample,0.719
amplification,0.81
amplify,0.827
amplitude,0.692
amply,0.766
amputate,0.509
amulet,0.63
amuse,0.664
amused,0.596
amusement,0.803
amusing,0.632
anaconda,0.54
anaesthetic,0.509
analogous,0.5
analogy,0.509
analysis,0.705
analyst,0.755
analytic,0.634
analytical,0.8
analyze,0.71
analyzer,0.854
anaphylactic,0.5
anarchism,0.623
anarchist,0.759
anarchy,0.62
anathema,0.519
anatomic,0.546
anatomy,0.571
ancestor,0.594
ancestral,0.75
ancestry,0.717
anchor,0.564
anchorage,0.639
androgen,0.527
android,0.5
anecdote,0.5
anesthesiologist,0.526
aneurysm,0.536
angel,0.704
angelic,0.668
anger,0.657
angered,0.547
angiography,0.52
angling,0.5
angry,0.604
animal,0.513
animate,0.635
animated,0.538
animation,0.549
animosity,0.545
annexation,0.555
annihilate,0.681
annihilation,0.591
anniversary,0.723
annotation,0.619
announce,0.611
announcer,0.732
annual,0.5
annuity,0.527
anointed,0.579
anointing,0.547
answer,0.661
answerable,0.75
answering,0.607
antagonism,0.524
antagonist,0.7
antagonistic,0.565
antagonize,0.629
antecedent,0.566
antelope,0.5
anthem,0.729
anthology,0.537
anthrax,0.5
anthropologist,0.725
anthropology,0.582
antiaircraft,0.629
antibiotic,0.658
antibiotics,0.557
antichrist,0.544
anticipate,0.667
anticipation,0.711
anticipatory,0.682
antidote,0.629
antigravity,0.658
antique,0.518
antiques,0.595
antiquity,0.556
antiseptic,0.623
antithesis,0.536
antiviral,0.549
antler,0.5
anvil,0.604
aorta,0.542
apace,0.536
apache,0.5
apartment,0.58
aperture,0.667
aphrodisiac,0.667
aplomb,0.582
apocalypse,0.736
apocalyptic,0.75
apologetic,0.571
apologist,0.526
apostasy,0.517
apostate,0.528
apostle,0.732
apostolic,0.717
apostrophe,0.537
apothecary,0.529
appalled,0.562
apparition,0.636
appeal,0.558
appear,0.567
appearance,0.534
appellant,0.568
appendectomy,0.554
appetite,0.581
appetizing,0.688
applause,0.621
appliance,0.538
appliances,0.567
applicability,0.741
applicable,0.667
applicant,0.688
application,0.726
apply,0.667
appoint,0.509
appointment,0.547
appointments,0.625
apportion,0.638
appraisal,0.682
appraise,0.696
appreciable,0.778
appreciate,0.741
appreciated,0.779
appreciates,0.656
appreciation,0.588
appreciative,0.654
apprehend,0.696
apprenticeship,0.643
approach,0.61
approbate,0.86
approbation,0.774
appropriate,0.759
appropriation,0.717
approval,0.889
approve,0.741
approved,0.698
approvement,0.78
approving,0.773
approximate,0.52
approximately,0.538
approximation,0.593
appurtenances,0.547
aptitude,0.746
aqueduct,0.534
arbiter,0.814
arbitrary,0.686
arbitrate,0.682
arbitration,0.67
arbitrator,0.795
arbor,0.591
arcade,0.502
arcane,0.637
archaeological,0.66
archaeologist,0.706
archaeology,0.691
archangel,0.708
archbishop,0.776
archdiocese,0.704
archduke,0.634
archer,0.661
archery,0.589
archetype,0.569
archipelago,0.592
architect,0.836
architectural,0.67
architecture,0.694
archive,0.527
arctic,0.546
ardent,0.722
ardor,0.538
arduous,0.605
argue,0.525
argument,0.698
argumentation,0.76
argumentative,0.679
arguments,0.657
arise,0.725
aristocracy,0.842
aristocrat,0.811
aristocratic,0.676
arithmetic,0.634
ark,0.543
armada,0.868
armament,0.81
armaments,0.83
armature,0.755
armed,0.808
armor,0.784
armored,0.861
armory,0.8
army,0.902
arousal,0.731
arouse,0.58
aroused,0.667
arraignment,0.534
arrange,0.571
arranged,0.728
arrangement,0.683
array,0.568
arrest,0.5
arrive,0.585
arrogance,0.62
arrogant,0.58
arsenal,0.752
arson,0.567
arsonist,0.5
art,0.603
arterial,0.583
artery,0.537
artful,0.778
articles,0.565
articulate,0.618
articulation,0.591
artifact,0.566
artillery,0.794
artist,0.732
artiste,0.565
artistic,0.632
artistry,0.769
artists,0.741
artwork,0.679
asap,0.552
ascend,0.812
ascendancy,0.7
ascendant,0.821
ascending,0.777
ascension,0.714
ascent,0.833
ascertain,0.625
ascertained,0.616
aspect,0.588
aspects,0.565
aspiration,0.675
aspire,0.722
aspiring,0.604
assail,0.5
assailant,0.602
assassin,0.632
assassinate,0.722
assassination,0.525
assault,0.55
assay,0.594
assemblage,0.6
assemble,0.75
assembled,0.644
assembly,0.64
assemblyman,0.76
assent,0.719
assert,0.809
asserting,0.736
assertion,0.75
assertive,0.77
assess,0.623
assessment,0.658
assessor,0.764
asset,0.788
assets,0.765
assign,0.709
assignee,0.51
assignment,0.745
assimilate,0.683
assist,0.629
assistance,0.633
assistant,0.536
associate,0.625
association,0.817
assortment,0.526
assuage,0.5
assuming,0.526
assurance,0.704
assure,0.839
assured,0.754
assuredly,0.833
asteroid,0.623
asteroids,0.712
astonish,0.658
astonished,0.574
astonishing,0.821
astonishingly,0.773
astonishment,0.519
astral,0.567
astrologer,0.673
astrology,0.5
astronaut,0.761
astronomer,0.735
astronomical,0.726
astronomy,0.722
astute,0.827
asymmetry,0.527
atelier,0.705
athlete,0.686
athletic,0.708
athleticism,0.778
athletics,0.74
atlas,0.554
atmosphere,0.56
atmospheric,0.594
atomic,0.713
atonement,0.683
atpeace,0.519
atrocity,0.593
attach,0.559
attachment,0.5
attack,0.67
attacker,0.629
attacking,0.642
attain,0.719
attainable,0.759
attainment,0.94
attempted,0.567
attend,0.625
attendance,0.592
attendant,0.519
attention,0.774
attentionseekers,0.5
attentive,0.724
attest,0.685
attestation,0.5
attitude,0.861
attorney,0.754
attract,0.769
attraction,0.712
attractive,0.769
attractiveness,0.755
attributable,0.527
attribute,0.795
attribution,0.658
auction,0.519
auctioneer,0.716
audacious,0.825
audacity,0.916
audience,0.613
audit,0.735
audition,0.615
auditions,0.596
auditor,0.726
auditorium,0.538
auditory,0.57
augment,0.645
augmentation,0.85
aura,0.5
aurora,0.537
auspices,0.634
auspicious,0.669
austerity,0.534
authentic,0.782
authenticate,0.789
authentication,0.75
authenticity,0.845
author,0.749
authoritative,0.89
authority,0.934
authorization,0.817
authorize,0.821
authorized,0.815
authorship,0.773
auto,0.5
autobiographical,0.582
autobiography,0.629
autocorrect,0.616
autocratic,0.727
autographed,0.625
automated,0.632
automatic,0.664
automobile,0.534
automotive,0.577
autonomy,0.891
autopilot,0.632
autopsy,0.538
auxiliary,0.509
avail,0.603
availability,0.6
available,0.623
avalanche,0.683
avatar,0.567
avenge,0.559
avenger,0.67
avenging,0.717
averseness,0.528
aversion,0.525
aviation,0.741
aviator,0.644
avid,0.593
awake,0.741
awaken,0.611
awakening,0.618
award,0.66
awards,0.652
aware,0.77
awareness,0.81
awesome,0.891
awesomeness,0.927
awestruck,0.68
axe,0.536
axiom,0.583
axiomatic,0.627
bachelor,0.6
backbone,0.62
backer,0.537
backhoe,0.562
backup,0.553
bacteria,0.57
badass,0.745
badge,0.691
bail,0.561
bailiff,0.759
bake,0.519
balance,0.735
balanced,0.745
ballistic,0.685
ballistics,0.61
ballpark,0.529
ballplayer,0.566
balmy,0.545
ban,0.587
band,0.525
bandit,0.567
bandstand,0.52
bandwagon,0.509
bandwidth,0.548
bang,0.74
banger,0.538
banish,0.543
bank,0.675
banker,0.792
banking,0.5
bankroll,0.509
banquet,0.6
baptism,0.566
baptismal,0.625
baptize,0.594
barbarian,0.713
barbaric,0.738
barbarism,0.614
bargain,0.67
bargaining,0.642
baritone,0.5
barometer,0.545
baron,0.709
baroness,0.755
barracuda,0.51
barrage,0.627
barred,0.535
barricade,0.673
barrier,0.562
barrister,0.792
bartender,0.585
barter,0.596
base,0.553
baseball,0.563
baseball bat,0.509
baseline,0.509
bases,0.591
basilica,0.639
bastion,0.596
batching,0.518
bathymetry,0.509
baton,0.519
battalion,0.795
battle,0.868
battled,0.575
battlefield,0.781
battleground,0.812
battlements,0.53
battleship,0.726
bawdy,0.508
bawl,0.561
bay,0.569
bayonet,0.561
bazaar,0.5
bazooka,0.634
be,0.554
beaches,0.538
beacon,0.537
beads,0.552
beaming,0.587
bearable,0.605
bearer,0.676
beast,0.732
beastly,0.843
beautification,0.725
beautiful,0.648
beautify,0.736
beauty,0.644
become,0.643
bedrock,0.598
beer,0.5
befall,0.585
begin,0.763
beginning,0.558
beginnings,0.6
behappy,0.562
behave,0.747
behavior,0.813
behavioral,0.708
behemoth,0.853
behest,0.72
beholder,0.52
belay,0.702
belief,0.656
believable,0.676
believe,0.682
believed,0.547
believer,0.564
believing,0.833
bell,0.505
belligerent,0.594
bellyful,0.519
belong,0.569
belongings,0.75
beloved,0.708
bench,0.544
benefactor,0.755
beneficial,0.703
beneficiary,0.616
benefit,0.806
benevolence,0.717
benevolent,0.651
benign,0.509
bequeath,0.741
bequest,0.882
bereavement,0.5
berlin,0.571
berth,0.596
beseech,0.6
bestdayever,0.593
bestfeeling,0.625
bestfriends,0.647
bestial,0.674
besties,0.614
bestow,0.642
bestseller,0.7
betray,0.536
betrothed,0.667
betterment,0.769
bevy,0.541
beware,0.518
bias,0.541
bible,0.726
biblical,0.712
bibliography,0.528
bicentennial,0.507
biceps,0.602
bicker,0.552
bickering,0.536
bid,0.655
bidding,0.509
big,0.812
bigday,0.596
biggie,0.5
bighorn,0.58
bigot,0.517
biker,0.567
bilingual,0.606
bill,0.535
billet,0.5
billiard,0.543
billing,0.67
billion,0.782
billionaire,0.923
binding,0.64
binge,0.5
biochemical,0.618
biochemist,0.717
biochemistry,0.596
biogenesis,0.697
biographer,0.617
biography,0.718
biological,0.615
biologist,0.693
biology,0.546
bionic,0.788
biosphere,0.579
birdman,0.604
birth,0.536
birthday,0.575
birthing,0.519
birthmark,0.5
birthright,0.714
bishop,0.725
bison,0.557
bite,0.51
biter,0.5
black snake,0.612
blacksmith,0.702
blade,0.594
blare,0.519
blast,0.777
blaster,0.554
blastoff,0.736
blatant,0.675
blaze,0.658
blazing,0.735
blending,0.637
bless,0.588
blessed,0.696
blessing,0.8
blessings,0.623
blimp,0.532
bliss,0.782
blissful,0.676
blitz,0.789
blockade,0.51
blockbuster,0.883
bloke,0.545
blood,0.585
bloodhound,0.538
bloodline,0.604
bloodshed,0.525
bloodstream,0.528
bloodthirsty,0.644
bloody,0.518
bloom,0.587
blooming,0.593
blow,0.57
blower,0.536
blowout,0.616
blowtorch,0.51
blunt,0.925
boa,0.542
boa constrictor,0.609
boarding,0.534
boardroom,0.661
boards,0.524
boardwalk,0.549
boast,0.569
boastful,0.695
boasting,0.602
boat,0.554
boating,0.557
boatman,0.562
bobcat,0.529
bodily,0.557
body,0.571
bodyguard,0.754
bogeyman,0.517
boiler,0.509
boiling,0.526
boisterous,0.565
boldness,0.814
bolster,0.569
bomb,0.75
bombard,0.777
bombardier,0.787
bombardment,0.742
bombed,0.627
bomber,0.81
bombers,0.787
bombing,0.732
bombshell,0.693
bonanza,0.683
bond,0.63
bonding,0.509
bonds,0.583
bondsman,0.675
bonehead,0.518
bonus,0.682
boogeyman,0.567
book,0.606
bookie,0.618
booking,0.583
bookkeeping,0.592
bookmaker,0.633
bookstore,0.503
boom,0.731
boomerang,0.5
booming,0.661
boon,0.642
boost,0.75
booster,0.8
boot,0.625
bootlegger,0.541
booty,0.784
borer,0.578
born,0.591
borrower,0.763
boss,0.954
bossy,0.75
boston,0.58
botany,0.5
boulder,0.531
bouncer,0.655
boundary,0.518
boundless,0.652
bounds,0.604
bountiful,0.759
bounty,0.833
bourbon,0.517
bourgeois,0.682
bourgeoisie,0.767
bout,0.679
boxer,0.802
boxers,0.654
boxing,0.645
boycott,0.505
boyfriend,0.547
boyhood,0.5
bra,0.509
braces,0.568
bracket,0.682
brag,0.578
brain,0.823
brains,0.722
brainstorm,0.636
brainy,0.648
brand,0.547
brash,0.552
brass knuckle,0.518
bravado,0.527
brave,0.917
bravery,0.868
brawl,0.603
brawn,0.544
brazen,0.518
breadth,0.644
breakaway,0.519
breaker,0.52
breaking and entering,0.5
breakingnews,0.607
breakneck,0.604
breakthrough,0.718
breast,0.5
breathe,0.518
breathtaking,0.921
breed,0.578
breeder,0.605
breeding,0.61
brethren,0.641
brew,0.758
brewery,0.51
brewing,0.609
bribery,0.585
bridal,0.596
bride,0.579
bridegroom,0.527
bridesmaid,0.618
bridge,0.519
briefing,0.702
brig,0.5
brigade,0.828
bright,0.812
brighten,0.649
brightens,0.613
brighter,0.833
brightness,0.66
brilliance,0.83
brilliant,0.923
brimming,0.758
brisk,0.742
bro,0.684
broach,0.675
broad,0.637
broadcasting,0.706
broaden,0.61
broadsword,0.615
broker,0.6
brokerage,0.5
bronze,0.526
brother,0.546
brotherhood,0.76
brotherly,0.596
browse,0.592
brunette,0.529
brutal,0.643
brutality,0.571
brutish,0.588
buck,0.72
buddha,0.604
buddhism,0.673
buddy,0.655
budge,0.543
budget,0.731
buffalo,0.527
buffet,0.519
bugged,0.5
build,0.806
builder,0.701
building,0.673
buildings,0.552
buildup,0.623
bulk,0.509
bulky,0.75
bull,0.644
bulldog,0.53
bulldozer,0.643
bullet,0.634
bulletproof,0.779
bullfighter,0.664
bullheaded,0.516
bullhorn,0.736
bullion,0.729
bullpen,0.5
bully,0.564
bulwark,0.675
bumper,0.518
bunker,0.773
buoyancy,0.538
burden,0.697
burdened,0.565
bureau,0.618
bureaucracy,0.74
bureaucrat,0.598
bureaucratic,0.573
burglary,0.543
burly,0.75
burn,0.509
bursary,0.571
burst,0.845
business,0.755
business man,0.933
businessman,0.802
businesswoman,0.764
bustling,0.528
butcher,0.608
buttress,0.721
buxom,0.547
buy,0.612
buyer,0.649
buying,0.589
bylaw,0.725
cabal,0.573
cadet,0.664
caffeine,0.5
cagey,0.582
calamitous,0.5
calculated,0.683
calculating,0.625
calculation,0.606
calculator,0.588
calculus,0.562
caliber,0.606
calibrate,0.623
calisthenics,0.545
call,0.558
calligraphy,0.5
calls,0.551
camaraderie,0.648
cameo,0.509
cameraman,0.542
camouflaged,0.562
camp,0.594
campaign,0.823
campaigner,0.821
campaigning,0.741
campsite,0.547
campus,0.519
cancer,0.529
candidacy,0.696
candidate,0.804
candlestick,0.534
candor,0.607
cannabis,0.564
cannibalism,0.583
cannon,0.811
cannonball,0.759
canon,0.541
canonical,0.62
canons,0.593
canteen,0.514
canterbury,0.51
canto,0.554
canton,0.536
canyon,0.634
capability,0.73
capable,0.547
capacity,0.806
capital,0.798
capitalism,0.848
capitalist,0.821
capitalize,0.885
capitals,0.655
capitation,0.589
capitol,0.705
capitulation,0.615
capricious,0.5
capsule,0.57
captain,0.966
captivate,0.723
captivating,0.816
captor,0.612
capture,0.537
car,0.5
carat,0.676
carburetor,0.555
cardiac,0.615
cardinal,0.712
cardiologist,0.814
cardiology,0.605
cardiomyopathy,0.537
care,0.5
career,0.606
carefree,0.5
careful,0.53
carefully,0.544
caress,0.509
caret,0.527
caretaker,0.759
caring,0.5
carnage,0.558
carnival,0.555
carnivorous,0.651
carpenter,0.519
carpentry,0.518
carpool,0.5
carried,0.534
carrier,0.638
carry,0.5
cartel,0.602
cartography,0.579
carve,0.598
carver,0.5
cash,0.714
casino,0.568
cast,0.517
caster,0.647
castle,0.718
castrate,0.519
catabolism,0.605
catalog,0.573
catalogue,0.533
catalysis,0.531
catalyst,0.585
catalytic,0.563
catamaran,0.526
catapult,0.649
cataract,0.549
catastrophe,0.67
catastrophic,0.598
catatonic,0.509
catch,0.552
catcher,0.54
catching,0.644
catechism,0.613
categorical,0.76
category,0.521
cater,0.509
caterer,0.644
cathartic,0.604
cathedral,0.643
catholic,0.575
caudal,0.583
causation,0.567
caution,0.547
cautionary,0.519
cautious,0.517
cautiously,0.525
cavalier,0.713
cavalry,0.794
caving,0.551
ceasefire,0.567
ceaseless,0.658
cedar,0.577
celebrant,0.643
celebrate,0.859
celebrated,0.763
celebrating,0.773
celebration,0.88
celebrations,0.714
celebratory,0.845
celebrity,0.855
celestial,0.731
celibacy,0.509
cellblock,0.5
cello,0.528
cellular,0.517
cement,0.527
cemented,0.537
censor,0.538
census,0.553
centenary,0.642
centennial,0.7
centerpiece,0.52
central,0.621
centrality,0.709
centralization,0.702
centralize,0.802
centrally,0.7
centrifuge,0.527
centurion,0.696
century,0.735
cerebral,0.627
ceremonial,0.691
ceremony,0.761
certain,0.673
certainty,0.769
certifiable,0.662
certificate,0.746
certified,0.806
certify,0.746
chain,0.547
chainsaw,0.636
chairman,0.933
chairperson,0.966
chairwoman,0.953
chalice,0.529
challenge,0.713
challenger,0.652
champ,0.896
champion,0.945
championship,0.88
chance,0.525
chancellor,0.887
change,0.606
changeable,0.528
changer,0.567
chant,0.65
chaplain,0.577
character,0.686
characteristic,0.538
characterize,0.735
charge,0.785
charger,0.545
charisma,0.759
charismatic,0.849
charitable,0.593
charity,0.551
charm,0.649
charmed,0.769
charmer,0.782
charming,0.764
charter,0.518
chase,0.623
chaser,0.645
chasm,0.5
chastity,0.509
chateau,0.702
chauvinist,0.527
check,0.602
checker,0.553
checklist,0.552
checkmate,0.75
checkout,0.67
checkpoint,0.812
cheer,0.845
cheered,0.79
cheerful,0.696
cheerfulness,0.675
cheering,0.642
cheerleader,0.657
cheers,0.702
cheetah,0.667
chef,0.57
chemical,0.508
chemist,0.61
chemistry,0.694
chemotherapy,0.517
cheque,0.66
cherish,0.652
cherishing,0.625
chess,0.518
chevron,0.598
chief,0.869
chiefly,0.764
chieftain,0.86
childbirth,0.673
china,0.556
chipper,0.5
chiropractor,0.651
chivalry,0.848
choice,0.664
choke,0.676
cholera,0.507
choose,0.648
choosing,0.689
choosy,0.712
chopper,0.509
choppers,0.691
chord,0.539
chore,0.5
choreographer,0.625
choreography,0.547
chorus,0.5
chosen,0.833
christ,0.75
christen,0.588
christening,0.65
christian,0.591
christmas,0.741
christmasbreak,0.548
christmasspirit,0.575
christmassy,0.602
christmastime,0.515
chromatography,0.535
chromosome,0.548
chronicle,0.586
chronograph,0.529
chronological,0.6
chum,0.518
chummy,0.61
chunky,0.509
church,0.61
cinema,0.5
cinematic,0.6
cinematographer,0.711
cinematography,0.625
cipher,0.5
circuit,0.707
circuitry,0.536
circulation,0.657
circulatory,0.545
circumcision,0.528
circumferential,0.509
circumscribed,0.569
circumstance,0.596
circumstantial,0.519
citadel,0.602
citation,0.508
cite,0.532
citizen,0.586
citizenship,0.723
city,0.508
citywide,0.707
civic,0.573
civics,0.72
civil,0.517
civilian,0.598
civilians,0.525
civility,0.679
civilization,0.839
civilized,0.796
claimant,0.779
clairvoyant,0.897
clan,0.686
clang,0.51
clap,0.529
clapping,0.686
clarification,0.613
clarify,0.625
clarity,0.631
clashing,0.575
class,0.522
classic,0.611
classic rock,0.588
classical,0.536
classics,0.51
classification,0.613
classified,0.663
classify,0.72
classmate,0.593
classy,0.649
clause,0.528
clauses,0.545
claw,0.598
claws,0.562
clean,0.5
cleanliness,0.609
cleanly,0.583
cleanse,0.66
clear,0.573
clearing,0.509
clearness,0.689
clef,0.595
clench,0.58
clergy,0.575
clergyman,0.556
cleric,0.589
clerk,0.509
clerkship,0.596
clever,0.729
cleverness,0.921
client,0.618
clientele,0.508
cliff,0.509
climatology,0.541
climax,0.667
climb,0.604
climber,0.735
cling,0.588
clinic,0.6
clinical,0.64
clockwork,0.528
clone,0.524
cloning,0.679
clout,0.704
clubs,0.591
clump,0.582
clutches,0.528
coach,0.735
coachman,0.509
coalesce,0.529
coalition,0.673
coastal,0.51
coaster,0.627
coating,0.596
cobra,0.6
cocky,0.519
codex,0.524
codification,0.698
codify,0.679
coding,0.667
coefficient,0.702
coerce,0.517
coercion,0.577
coercive,0.506
coexist,0.536
coexistence,0.638
coexisting,0.648
cogent,0.836
cognition,0.706
cognitive,0.634
cohabitation,0.598
coherence,0.788
coherent,0.5
cohesion,0.555
cohesive,0.603
cohort,0.566
coinage,0.545
coincide,0.593
coincidence,0.518
coincident,0.602
coinciding,0.623
coliseum,0.704
collaborate,0.559
collaboration,0.741
collaborator,0.769
collate,0.58
collateral,0.717
collation,0.508
colleague,0.6
collected,0.588
collection,0.588
collective,0.698
collectively,0.533
collector,0.648
college,0.746
collegiate,0.678
collide,0.557
collision,0.585
collocation,0.594
cologne,0.552
colonel,0.89
colonial,0.613
colony,0.593
colorful,0.519
colossal,0.9
colt,0.543
column,0.67
columnist,0.648
combat,0.833
combatant,0.78
combative,0.816
combination,0.726
combine,0.533
combined,0.5
combustible,0.75
combustion,0.591
come,0.558
comeback,0.555
comedian,0.598
comfort,0.67
comforting,0.62
comfy,0.625
coming,0.5
command,0.849
commandant,0.943
commandeer,0.931
commander,0.906
commanding,0.925
commandment,0.876
commando,0.817
commemorate,0.636
commemoration,0.754
commemorative,0.754
commence,0.741
commend,0.711
commendable,0.555
commendation,0.639
commensurate,0.55
commentator,0.607
commerce,0.788
commercial,0.528
commissary,0.788
commission,0.571
commissioner,0.949
commitment,0.843
committal,0.582
committed,0.712
committee,0.721
commodity,0.537
commodore,0.636
commonly,0.574
commons,0.623
commonwealth,0.702
commotion,0.646
communal,0.556
commune,0.655
communicable,0.623
communicate,0.696
communication,0.649
communicative,0.637
communicator,0.796
communion,0.607
communism,0.623
communist,0.632
community,0.659
commutation,0.652
commutative,0.569
commute,0.565
commuter,0.512
compact,0.673
compaction,0.582
companion,0.618
companionship,0.792
company,0.798
comparative,0.562
comparatively,0.538
compare,0.524
compartment,0.607
compass,0.529
compassion,0.509
compatibility,0.673
compatible,0.638
compel,0.625
compelling,0.87
compendium,0.537
compensate,0.762
compensation,0.598
compensatory,0.7
compete,0.786
competence,0.823
competency,0.764
competent,0.904
competition,0.798
competitive,0.908
competitor,0.861
compilation,0.606
compile,0.519
complacency,0.519
complacent,0.518
complement,0.6
complementary,0.586
complete,0.809
completed,0.777
completely,0.69
completeness,0.769
completing,0.769
completion,0.525
complex,0.55
complexed,0.612
