term,valence
aggressiveness,0.077
aggressor,0.146
agh,0.26
aghast,0.133
aghhh,0.281
aging,0.214
agitate,0.3
agitated,0.444
agitation,0.24
agnostic,0.306
ago,0.317
agonizing,0.083
agony,0.083
agoraphobia,0.127
agressive,0.083
aground,0.333
ail,0.375
ailing,0.094
ailment,0.146
aim,0.481
aimless,0.15
aircraft carrier,0.49
airhead,0.271
airlock,0.398
airtight,0.479
aisle,0.438
ait,0.385
ajar,0.46
aka,0.459
alarm,0.241
alarmed,0.188
alarming,0.204
alcohol,0.323
alcoholic,0.153
alcoholism,0.061
alcove,0.49
alert,0.479
alertness,0.375
alerts,0.337
algebra,0.44
algorithm,0.448
alibi,0.396
alien,0.41
alienate,0.247
alienated,0.41
alienation,0.378
aliquot,0.44
alkali,0.49
alkaloids,0.433
allay,0.417
allege,0.418
alleged,0.365
allergic,0.135
allergy,0.296
alley,0.347
alleyway,0.357
alligator,0.354
allusion,0.44
alluvial,0.323
alone,0.333
alongside,0.458
aloof,0.189
aloud,0.458
altar boy,0.434
alter,0.333
alteration,0.167
altercation,0.17
altered,0.255
alternating,0.48
aluminum,0.449
alveolar,0.469
alzheimers,0.194
amalgam,0.438
amalgamation,0.406
amateur,0.469
ambiguity,0.164
ambiguous,0.265
ambit,0.479
ambitious,0.484
ambush,0.281
amenable,0.448
amidst,0.48
ammo,0.323
ammonia,0.292
ammonium,0.354
ammunition,0.338
amnesia,0.296
amorphous,0.327
amp,0.439
ampersand,0.48
amphetamines,0.133
amphibian,0.427
amphibious,0.479
amputate,0.092
amputation,0.1
amuck,0.385
anaconda,0.146
anaesthesia,0.35
anaesthetic,0.449
anal,0.333
analgesic,0.417
anaphylactic,0.378
anarchism,0.125
anarchist,0.204
anarchy,0.146
anastomosis,0.375
anathema,0.286
ancient,0.42
ancillary,0.449
androgen,0.255
anemia,0.188
anemic,0.167
anesthesia,0.365
anesthesiologist,0.419
anesthetic,0.35
aneurysm,0.115
anger,0.167
angered,0.01
angermanagement,0.26
angina,0.23
angiogram,0.347
angiography,0.378
angriest,0.094
angry,0.122
angrytweet,0.265
angst,0.167
anguish,0.153
anguished,0.135
angular,0.449
anhydrous,0.456
anklet,0.41
annals,0.427
annexation,0.342
annihilate,0.115
annihilated,0.08
annihilation,0.041
annoy,0.094
annoyance,0.167
annoyed,0.104
annoyin,0.26
annoying,0.082
annoys,0.146
annul,0.25
annular,0.31
annulment,0.153
annulus,0.458
anomalous,0.281
anomaly,0.188
anon,0.479
anonymity,0.469
anonymous,0.396
anorexic,0.16
ant,0.448
antagonism,0.224
antagonist,0.24
antagonistic,0.296
antagonize,0.143
ante,0.448
antecedent,0.427
anthill,0.327
anthology,0.338
anthrax,0.188
anthropological,0.367
anthropology,0.49
anti,0.365
antiaircraft,0.33
antibiotics,0.448
antichrist,0.082
antics,0.448
antifungal,0.408
antigravity,0.43
antimony,0.378
antipathy,0.198
antiquated,0.42
antiquity,0.385
antiseptic,0.438
antisocial,0.146
antithesis,0.396
antithetical,0.271
antiviral,0.459
antler,0.448
antsy,0.449
anus,0.347
anvil,0.38
anxiety,0.146
anxietyattack,0.15
anxious,0.281
anxiousness,0.235
aorta,0.448
aortic,0.436
apathetic,0.188
apathy,0.184
aphid,0.388
apiece,0.439
apocalypse,0.05
apocalyptic,0.173
apologetic,0.479
apologist,0.406
apostasy,0.388
apostate,0.342
apostrophe,0.469
appalled,0.194
appalling,0.16
apparatus,0.375
apparent,0.473
apparition,0.406
appellant,0.327
appendage,0.229
appendectomy,0.177
appendicitis,0.031
appendix,0.365
applicable,0.469
appraisal,0.417
apprehension,0.385
apprehensive,0.406
aqueous,0.429
arbitrary,0.281
arbitrate,0.47
arbitrator,0.385
archaic,0.271
archdiocese,0.4
archduke,0.458
archetype,0.448
archive,0.438
arduous,0.344
area,0.49
areola,0.417
areyoukidding,0.429
areyoukiddingme,0.365
argh,0.26
arghh,0.292
arghhhh,0.25
argue,0.093
argumentation,0.479
argumentative,0.45
arid,0.323
aristocratic,0.449
arithmetic,0.453
ark,0.396
armada,0.408
armament,0.198
armaments,0.192
armed,0.188
armor,0.469
armored,0.469
armory,0.448
armpit,0.283
arms,0.464
army,0.417
arraignment,0.406
arrears,0.286
arrest,0.146
arrhythmia,0.265
arrogance,0.143
arrogant,0.115
arrow,0.439
arsehole,0.276
arseholes,0.188
arsenal,0.365
arsenic,0.281
arson,0.133
arsonist,0.348
arterial,0.396
artery,0.396
arthritis,0.11
arthropod,0.344
articulation,0.479
artifice,0.316
artificial,0.306
artillery,0.35
arty,0.49
asbestos,0.357
ascetic,0.438
ash,0.26
ashamed,0.156
ashes,0.327
ashtray,0.406
asinine,0.429
asleeep,0.49
asp,0.438
asparagus,0.469
aspartame,0.469
aspect,0.479
aspects,0.439
aspen,0.479
asphalt,0.479
asphyxia,0.198
asphyxiation,0.059
aspirin,0.479
ass,0.323
assail,0.378
assailant,0.184
assassin,0.073
assassinate,0.051
assassination,0.083
assault,0.167
assemblage,0.429
assemblyman,0.43
asshole,0.133
assignment,0.483
assimilation,0.429
assumption,0.479
asteroid,0.43
asteroids,0.361
asthma,0.198
asthmatic,0.229
astigmatism,0.214
astray,0.098
astringent,0.316
asunder,0.208
asylum,0.407
asymmetry,0.476
asymptotic,0.479
atelier,0.49
atheism,0.276
atheist,0.225
atheistic,0.373
atherosclerosis,0.25
atoll,0.48
atomic,0.327
atone,0.418
atrium,0.469
atrocious,0.073
atrocity,0.115
atrophy,0.177
attack,0.286
attacker,0.185
attacking,0.276
attentionseeker,0.367
attenuate,0.408
attenuated,0.449
attenuation,0.458
attest,0.439
attestation,0.234
attrition,0.229
audit,0.375
aught,0.418
austerity,0.438
autism,0.235
autistic,0.367
autopsy,0.252
avalanche,0.265
avarice,0.198
avenge,0.073
avenger,0.337
avenging,0.143
aver,0.492
averse,0.253
averseness,0.296
aversion,0.074
avoid,0.427
avoidance,0.47
avoiding,0.457
await,0.448
awe,0.469
awed,0.364
awful,0.061
awkward,0.296
awkwardness,0.167
awry,0.156
axe,0.296
axial,0.458
axiom,0.439
axiomatic,0.458
axis,0.209
axle,0.459
azimuth,0.385
babbling,0.396
baboon,0.357
back,0.438
backboard,0.48
backdoor,0.344
backdrop,0.32
backfire,0.265
background,0.399
backhand,0.427
backhoe,0.398
backoff,0.104
backroom,0.406
backseat,0.388
backside,0.182
backtrack,0.312
backward,0.309
backwardness,0.24
backwards,0.302
backwater,0.312
bacteria,0.177
bacterial,0.156
bacterium,0.194
bad,0.125
badass,0.255
badday,0.327
badfeeling,0.25
badger,0.344
badhabit,0.184
badly,0.073
badness,0.094
baffle,0.344
baffled,0.151
baggie,0.367
bail,0.373
bailiff,0.347
bait,0.276
bal,0.49
bald,0.306
balding,0.302
baldy,0.398
bale,0.437
balk,0.229
ballast,0.354
ballistic,0.26
ballistics,0.271
bam,0.427
ban,0.146
bandage,0.22
bandit,0.094
bane,0.265
bang,0.265
banger,0.378
banish,0.163
banished,0.052
banishment,0.16
banister,0.418
banjo,0.469
bankroll,0.469
bankrupt,0.163
bankruptcy,0.01
banshee,0.408
barb,0.448
barbarian,0.323
barbaric,0.235
barbarism,0.19
barbed,0.177
bard,0.47
bare,0.333
barefoot,0.445
barely,0.448
barf,0.34
barge,0.469
barium,0.406
bark,0.36
barkeep,0.48
barks,0.427
barnacle,0.408
barney,0.451
barometer,0.388
baroque,0.49
barrack,0.378
barracuda,0.333
barrage,0.388
barred,0.143
barrel,0.429
barren,0.173
barricade,0.323
barrier,0.333
barring,0.292
barrister,0.469
barrow,0.479
barter,0.465
baseboard,0.396
baseless,0.292
baseline,0.483
basement,0.388
bash,0.385
bashful,0.4
basket,0.458
bass,0.427
basso,0.417
bastard,0.094
bastarding,0.104
bastards,0.082
bat,0.324
batching,0.484
bate,0.429
bathymetry,0.432
baton,0.272
battalion,0.333
battered,0.08
battering,0.21
battery,0.48
battle,0.365
battled,0.292
battlefield,0.133
battleground,0.156
battlements,0.276
battleship,0.479
batty,0.375
bawdy,0.184
bawl,0.385
bayonet,0.263
bayou,0.469
bazooka,0.302
beady,0.448
beak,0.375
beaker,0.42
beanbag,0.45
bear,0.448
beard,0.49
bearded,0.439
bearings,0.418
bearskin,0.333
beast,0.214
beastly,0.146
beat,0.279
beaten,0.083
beater,0.438
beating,0.153
beatnik,0.429
beaver,0.49
bebop,0.482
beeper,0.438
beetle,0.323
befuddled,0.156
beg,0.292
beggar,0.24
begging,0.292
beginner,0.49
begrudge,0.177
beholden,0.296
beige,0.49
belated,0.24
belch,0.194
belittle,0.122
belittled,0.177
belligerent,0.344
bellow,0.248
bellows,0.458
bellyful,0.347
bemused,0.281
bender,0.49
bending,0.448
beneath,0.354
bent,0.375
benzene,0.439
bereaved,0.104
bereavement,0.265
bereft,0.229
berserk,0.398
berth,0.295
beryllium,0.417
beseech,0.33
beset,0.385
bestial,0.26
bet,0.385
betray,0.042
betrayal,0.083
betrayed,0.122
betting,0.237
bevy,0.429
beware,0.151
bewilder,0.306
bewildered,0.23
bewilderment,0.312
bias,0.4
biased,0.271
bib,0.385
bicarbonate,0.479
bicker,0.143
bickering,0.122
bidder,0.465
bide,0.368
bier,0.497
bifurcation,0.385
bigamy,0.327
biggestfear,0.062
bighorn,0.48
bigmouth,0.417
bigot,0.479
bigoted,0.153
bigotry,0.356
bilayer,0.438
bile,0.157
bilge,0.316
bill,0.396
billet,0.479
billing,0.406
billy,0.49
bimbo,0.396
bimonthly,0.408
bin,0.422
binary,0.49
bind,0.398
binder,0.438
binding,0.438
binge,0.304
binoculars,0.49
biochemical,0.367
biochemist,0.471
biology,0.479
biopsy,0.323
bipartite,0.365
bipolar,0.208
birdcage,0.48
birdman,0.49
bis,0.44
bisexual,0.438
bit,0.427
bitch,0.276
bitchy,0.188
bite,0.219
biter,0.26
bitter,0.218
bitterly,0.194
bitterness,0.115
bittersweet,0.469
bitty,0.469
bitumen,0.375
bizarre,0.379
blab,0.438
blabbermouth,0.323
black,0.326
black snake,0.104
blackboard,0.469
blacken,0.208
blackface,0.302
blackjack,0.419
blacklist,0.133
blackmail,0.094
blackmailer,0.092
blackness,0.26
blackout,0.126
blacksmith,0.48
bladder,0.406
blade,0.378
blame,0.115
bland,0.3
blare,0.439
blase,0.42
blasphemous,0.21
blasphemy,0.146
blast,0.167
blaster,0.459
blastoff,0.357
blatant,0.327
blather,0.344
bleach,0.336
bleak,0.204
bleed,0.041
bleeder,0.26
bleeding,0.135
bleep,0.479
blemish,0.219
blemished,0.173
blend,0.469
bleu,0.46
blight,0.271
blighted,0.146
blind,0.156
blinded,0.245
blindfold,0.448
blindfolded,0.208
blinding,0.304
blindly,0.439
blindness,0.245
blister,0.407
blistering,0.344
blitz,0.417
blizzard,0.375
bloat,0.229
bloated,0.167
block,0.286
blockade,0.38
blockage,0.25
blockhead,0.163
bloke,0.45
blood,0.219
bloodbath,0.06
bloodhound,0.327
bloodless,0.292
bloodshed,0.048
bloodshot,0.188
bloodthirsty,0.052
bloody,0.031
blot,0.365
blotched,0.133
blotter,0.36
blow,0.316
blowfish,0.344
blowjob,0.46
blown,0.333
blowout,0.398
blubber,0.388
bluddy,0.312
blueprint,0.49
blues,0.469
bluff,0.418
blunder,0.135
blur,0.268
blurred,0.32
blurry,0.059
blurt,0.408
boa,0.255
boa constrictor,0.198
boar,0.406
boards,0.469
boastful,0.49
boasting,0.417
boatload,0.365
bobbin,0.429
bode,0.344
bodice,0.39
bog,0.302
bogey,0.38
bogeyman,0.388
bogus,0.219
boil,0.417
boilerplate,0.398
boiling,0.302
boisterous,0.385
bold,0.49
bollocks,0.448
bolt,0.354
bolus,0.426
bomb,0.167
bombard,0.156
bombardier,0.24
bombardment,0.146
bombed,0.051
bomber,0.125
bombers,0.173
bombing,0.167
bombshell,0.327
bondage,0.146
bondsman,0.469
bone,0.337
bonehead,0.337
boner,0.344
bones,0.281
bonfire,0.48
bong,0.333
bonkers,0.306
bonne,0.448
bonnet,0.406
bony,0.445
boo,0.153
booby,0.396
booger,0.399
boogeyman,0.292
bookie,0.344
bookkeeper,0.48
boomer,0.48
boooo,0.271
boot,0.438
bootleg,0.357
bootlegger,0.354
booze,0.265
bop,0.429
bopper,0.398
border,0.406
borderline,0.449
bore,0.417
bored,0.153
boredom,0.167
borer,0.302
boring,0.194
boron,0.441
borough,0.429
borrow,0.398
borrower,0.439
boss,0.31
bossy,0.24
bother,0.208
bothering,0.208
bottle,0.469
bottleneck,0.284
bottling,0.365
bottom,0.417
bottomless,0.31
botulism,0.292
boulder,0.461
bounce,0.375
bouncer,0.49
bound,0.417
bounds,0.378
bourgeois,0.439
bourgeoisie,0.357
bout,0.208
bovine,0.449
bowed,0.41
bowel,0.306
bowels,0.194
boxcar,0.42
boxer,0.49
boxers,0.375
boxing,0.427
boycott,0.112
bozo,0.388
brachial,0.388
bracket,0.49
brackish,0.469
brad,0.49
brag,0.347
braid,0.427
brainless,0.138
brainwash,0.198
brake,0.312
brash,0.36
brass knuckle,0.406
brat,0.312
bravado,0.479
brawl,0.104
brawn,0.438
brazen,0.292
breach,0.177
breakable,0.194
breakaway,0.479
breakdown,0.365
breaker,0.323
breakers,0.469
breaking and entering,0.418
breakneck,0.254
breakup,0.25
breathless,0.323
breeches,0.365
breed,0.49
brevity,0.459
briar,0.493
bribe,0.112
bribery,0.135
brick,0.217
bridle,0.427
brief,0.469
brim,0.469
brimstone,0.357
brine,0.333
brink,0.375
bristle,0.375
brittle,0.276
broach,0.438
broadside,0.459
broadsword,0.469
broccoli,0.469
broke,0.245
broken,0.062
brokenheart,0.115
brokenhearted,0.13
brokerage,0.479
bromide,0.347
brooding,0.327
broom,0.385
broomstick,0.41
brothel,0.255
brown,0.396
brrr,0.373
bruise,0.133
bruising,0.084
brunch,0.406
brunt,0.204
brush,0.49
brutal,0.122
brutality,0.122
brute,0.115
brutish,0.27
bubonic,0.28
buckaroo,0.448
bucket,0.408
buckle,0.416
buckled,0.427
bucko,0.439
buckshot,0.255
buckwheat,0.49
bud,0.46
budding,0.49
buffalo,0.469
buffering,0.479
buffoon,0.344
bug,0.286
bugaboo,0.439
bugger,0.312
bugle,0.479
buildup,0.49
bulbous,0.39
bulge,0.26
bulimic,0.092
bulk,0.469
bulkhead,0.312
bulky,0.427
bulldog,0.494
bulldozer,0.459
bullet,0.408
bullfighter,0.448
bullfrog,0.344
bullheaded,0.229
bullock,0.281
bullpen,0.48
bullshit,0.042
bully,0.257
bum,0.281
bumblebee,0.469
bummed,0.296
bummer,0.163
bump,0.286
bumper,0.385
bumpy,0.306
bun,0.424
bunghole,0.286
bunion,0.276
bunk,0.438
bunker,0.375
bunkhouse,0.47
bunt,0.417
bur,0.385
burden,0.367
burdened,0.429
burdensome,0.229
bureaucracy,0.38
bureaucrat,0.208
bureaucratic,0.28
burglar,0.05
burglary,0.146
burial,0.203
buried,0.133
burke,0.466
burlap,0.429
burlesque,0.327
burn,0.219
burned,0.163
burner,0.296
burning,0.229
burnout,0.219
burnt,0.082
burp,0.219
burr,0.39
burro,0.4
burrow,0.438
burst,0.156
bury,0.077
bus,0.407
bush,0.413
bushel,0.417
buss,0.469
busted,0.204
buster,0.469
bustle,0.347
bustling,0.49
busy,0.402
busybody,0.255
butane,0.442
butler,0.469
butt,0.347
buttock,0.429
buttocks,0.458
buttress,0.438
buzz,0.333
buzzard,0.35
buzzing,0.43
bye,0.375
bygone,0.229
bylaw,0.469
byline,0.469
bypass,0.429
bystander,0.48
byte,0.49
cab,0.438
cabbage,0.398
caboose,0.44
cacophony,0.408
cactus,0.439
cad,0.447
cadaver,0.03
cadence,0.427
cage,0.316
cahoots,0.312
cairn,0.26
calamitous,0.219
calamity,0.122
calcareous,0.49
calculate,0.49
calculating,0.458
calculus,0.36
calendar,0.48
caliber,0.429
calico,0.406
calipers,0.48
callous,0.245
caloric,0.327
calorie,0.333
calorimeter,0.406
cam,0.448
camber,0.43
camisole,0.497
camouflage,0.438
camouflaged,0.35
can opener,0.444
cancel,0.214
canceling,0.229
cancellation,0.224
cancer,0.052
candidacy,0.49
candlestick,0.448
cane,0.459
canker,0.262
cannabis,0.271
canned,0.398
cannibal,0.122
cannibalism,0.094
canning,0.49
cannonball,0.344
canon,0.385
canons,0.385
cantbreathe,0.284
canthandleit,0.354
cantilever,0.357
cantstandit,0.418
cantwin,0.26
canyon,0.468
capillary,0.469
capitalism,0.448
capitalist,0.352
capitation,0.479
capitulation,0.375
caprice,0.333
capricious,0.221
capslock,0.33
captive,0.235
captivity,0.225
captor,0.347
capture,0.357
carburetor,0.469
carcass,0.115
carcinoma,0.153
cardiac,0.344
cardiologist,0.458
cardiology,0.203
cardiomyopathy,0.177
careless,0.255
carelessness,0.245
cargo,0.408
caries,0.115
carjack,0.438
carnage,0.406
carnal,0.417
carnivorous,0.224
carpal,0.449
carried,0.49
carsick,0.224
cartel,0.438
carter,0.312
cartilage,0.438
cartographic,0.49
carton,0.286
cartouche,0.427
cartridge,0.458
carve,0.469
carver,0.418
case,0.427
casein,0.47
casing,0.458
cask,0.49
casket,0.125
cassette,0.49
castaway,0.208
castrate,0.177
castration,0.198
casualty,0.235
catabolism,0.265
catalysis,0.385
catapult,0.48
cataract,0.406
catastrophe,0.146
catastrophic,0.071
catatonic,0.255
catching,0.49
caterpillar,0.461
cates,0.37
catfish,0.458
cathartic,0.45
catheter,0.336
cathouse,0.327
catnip,0.439
caucus,0.418
cauliflower,0.448
caulk,0.367
cause,0.469
caused,0.344
causeway,0.453
cautious,0.47
cave,0.459
caveat,0.344
caveman,0.235
cavern,0.323
cavernous,0.354
caving,0.378
cavity,0.466
cease,0.388
ceaseless,0.378
cede,0.275
celery,0.396
celibacy,0.302
celibate,0.419
cellblock,0.186
cellmate,0.167
cellulite,0.2
celluloid,0.469
cemented,0.429
cemetery,0.051
censor,0.344
censorship,0.219
censure,0.219
census,0.449
cent,0.439
centimeter,0.427
centipede,0.296
centrifugal,0.306
centrifuge,0.495
century,0.407
cerebral,0.408
cervical,0.375
cervix,0.429
cess,0.427
cessation,0.414
cesspool,0.167
chaff,0.333
chafing,0.43
chagrin,0.104
chagrined,0.112
chain,0.378
chainsaw,0.367
chaise,0.406
chalk,0.385
challenge,0.469
challenger,0.417
chameleon,0.49
changeable,0.49
channel,0.49
chaos,0.016
chaotic,0.115
chaps,0.35
charade,0.458
charcoal,0.302
charlatan,0.2
charred,0.208
chart,0.469
chase,0.396
chased,0.188
chaser,0.375
chasm,0.265
chassis,0.406
chaste,0.408
chastened,0.156
chastisement,0.156
chastity,0.469
chatterbox,0.459
chattering,0.46
chauvinist,0.31
cheapened,0.471
cheapskate,0.148
cheat,0.125
cheater,0.104
checker,0.33
checkered,0.459
cheeky,0.434
cheep,0.367
cheerless,0.204
cheesy,0.47
cheetah,0.469
chemical,0.337
chemist,0.408
chemo,0.214
chemotherapy,0.163
chevron,0.469
chicane,0.357
chicken pox,0.194
chickenpox,0.173
chieftain,0.343
chiffon,0.406
childless,0.31
childloss,0.24
chilling,0.208
chilly,0.329
chimera,0.292
chimp,0.394
chinchilla,0.48
chinook,0.408
chip,0.479
chipper,0.418
chipping,0.354
chiropractor,0.42
chirp,0.469
chisel,0.469
chiseler,0.429
chit,0.49
chloride,0.265
chlorine,0.306
chloroform,0.281
choke,0.167
cholera,0.02
cholesterol,0.198
choosy,0.28
chop,0.25
choppers,0.469
chore,0.406
chromatic,0.407
chromatography,0.48
chromium,0.458
chronic,0.255
chronicle,0.427
chug,0.401
chump,0.375
chunk,0.365
churchyard,0.296
churn,0.316
chutney,0.459
cigar,0.306
cigarette,0.219
cilantro,0.469
cinch,0.45
cinder,0.35
cipher,0.49
circle,0.48
circumcision,0.327
circumference,0.458
circumscribed,0.365
circumvent,0.316
cirrhosis,0.079
cirrus,0.47
citrine,0.375
citrus,0.469
civilians,0.49
claim,0.255
claimant,0.271
clam,0.442
clammy,0.354
clamor,0.438
clandestine,0.425
clang,0.459
clash,0.293
clashing,0.177
clasp,0.448
clatter,0.418
clause,0.48
clauses,0.449
claustrophobia,0.125
claustrophobic,0.092
clavicle,0.398
claw,0.26
claws,0.281
cleat,0.486
cleave,0.296
cleaver,0.24
cleft,0.306
clench,0.438
clicker,0.418
cliff,0.361
clinch,0.469
cling,0.417
clingy,0.224
clinic,0.469
clinical,0.337
clink,0.458
clip,0.438
clipper,0.293
clipping,0.46
clique,0.427
cloak,0.469
clobber,0.396
clockwork,0.49
clod,0.375
clog,0.104
cloister,0.438
clone,0.406
cloning,0.216
close,0.292
closed,0.24
closure,0.229
clot,0.15
clouded,0.24
cloudiness,0.469
cloudy,0.281
clove,0.439
cloves,0.427
cluck,0.39
clueless,0.35
clumsy,0.125
clunk,0.448
cluster,0.49
clutch,0.383
clutter,0.135
coachman,0.479
coagulation,0.381
coal,0.36
coalesce,0.479
coalition,0.49
coarse,0.333
coax,0.367
cobalt,0.408
cobble,0.448
cobra,0.312
cocaine,0.156
cock,0.418
cockamamie,0.45
cockeyed,0.459
cockroach,0.188
cocksucker,0.083
cocky,0.26
cocoon,0.47
codeine,0.375
codfish,0.49
codification,0.448
codify,0.448
coding,0.442
coed,0.469
coerce,0.26
coercion,0.33
coercive,0.479
coffin,0.073
cog,0.427
cohort,0.459
coil,0.448
coiled,0.378
coke,0.404
cola,0.469
cold,0.398
coldly,0.365
coldness,0.093
coldsweat,0.427
colic,0.135
collapse,0.208
collarbone,0.42
collate,0.438
collide,0.271
collision,0.245
collusion,0.365
colon,0.449
colonel,0.459
colonic,0.333
colonoscopy,0.208
colorless,0.354
column,0.48
columnar,0.448
com,0.396
coma,0.219
comatose,0.143
comb,0.49
combat,0.302
combative,0.381
combustible,0.386
combustion,0.457
comma,0.344
command,0.427
commando,0.323
commentator,0.492
commie,0.385
commissary,0.385
commit,0.365
committal,0.472
commodore,0.427
commoner,0.448
commotion,0.49
communism,0.264
communist,0.265
commutation,0.469
compact,0.458
companionless,0.271
comparative,0.47
compel,0.2
compelled,0.333
competitive,0.447
complain,0.143
complaint,0.143
complex,0.388
complexed,0.312
complexity,0.479
complicate,0.21
complicated,0.211
complication,0.365
complicity,0.323
compost,0.48
compress,0.406
compressed,0.323
compressor,0.418
comptroller,0.402
compulsion,0.118
compulsive,0.347
compulsory,0.343
con,0.255
concatenation,0.48
concave,0.441
conceal,0.312
concealed,0.344
concealment,0.302
conceit,0.354
conceited,0.194
concern,0.25
concerned,0.292
concierge,0.48
concoction,0.448
concomitant,0.427
concubine,0.388
concur,0.459
concussion,0.072
condemn,0.102
condemnation,0.133
conditionally,0.396
conditioned,0.49
conditioning,0.44
condo,0.439
condolence,0.26
condolences,0.198
condom,0.406
conduct,0.453
conduit,0.47
cone,0.417
confess,0.36
confession,0.469
confessional,0.458
confessions,0.325
confine,0.327
confined,0.286
confinement,0.333
confines,0.396
confiscate,0.25
confiscation,0.208
conflagration,0.344
conflict,0.335
conflicting,0.173
conform,0.479
confound,0.347
confounded,0.333
confront,0.281
confrontation,0.177
confuse,0.1
confused,0.22
confusing,0.229
confusion,0.255
conga,0.469
congenital,0.448
congestion,0.271
congress,0.449
congressman,0.438
conical,0.49
conjecture,0.396
conjugation,0.479
conjunctive,0.487
conjure,0.385
conjuring,0.224
conk,0.34
conscription,0.396
consequence,0.24
conservatism,0.406
consignment,0.49
consolation,0.408
conspicuous,0.479
conspiracy,0.125
conspirator,0.271
conspire,0.206
consternation,0.167
constipation,0.079
constrain,0.261
constrained,0.135
constraint,0.323
consume,0.427
consumption,0.39
contagion,0.208
contagious,0.184
containment,0.411
contaminate,0.14
contaminated,0.04
contamination,0.125
contempt,0.206
contemptible,0.146
contemptuous,0.204
contender,0.48
contending,0.49
contention,0.375
contentious,0.422
contiguous,0.375
continence,0.45
continental,0.486
contingency,0.396
contingent,0.47
contraband,0.177
contraception,0.296
contracted,0.344
contractile,0.48
contraction,0.292
contradict,0.16
contradiction,0.25
contradictory,0.365
contraption,0.448
contrary,0.327
contrast,0.48
contravene,0.357
contravention,0.344
contrite,0.347
contrition,0.347
contrived,0.408
controller,0.469
controlling,0.49
controversial,0.271
controversy,0.25
contusion,0.167
conundrum,0.354
convalescent,0.458
convent,0.48
conversion,0.48
convex,0.438
convexity,0.449
conveyancing,0.375
convict,0.177
convoluted,0.323
convolution,0.417
coo,0.49
cooling,0.469
coolness,0.49
coon,0.49
cop,0.327
copier,0.459
copious,0.427
copy,0.46
copycat,0.449
copying,0.448
copyright,0.458
coral snake,0.276
cord,0.388
cordon,0.469
cork,0.347
corkscrew,0.427
cornball,0.479
corned,0.459
corner,0.4
cornice,0.458
corny,0.448
corollary,0.458
coroner,0.323
corporation,0.429
corpse,0.094
corpsman,0.439
correction,0.448
correctional,0.292
corrective,0.448
corrosion,0.156
corrosive,0.14
corrupt,0.02
corrupting,0.062
corruption,0.052
corse,0.448
corset,0.49
cortical,0.38
cortisone,0.427
cost,0.365
costly,0.316
cote,0.439
cougar,0.438
cough,0.255
countdown,0.438
counter,0.439
counteract,0.378
counterattack,0.281
counterclaim,0.398
counterfeit,0.094
counterpart,0.448
counterpoint,0.438
counts,0.343
county,0.479
coup,0.275
coupe,0.479
court,0.479
courtroom,0.385
courts,0.367
coven,0.458
cover,0.365
covet,0.302
cow,0.449
coward,0.102
cowardice,0.133
cowardly,0.102
cowhand,0.438
cowhide,0.458
cowl,0.427
