term,dominance
annex,0.458
annexe,0.392
annihilated,0.324
annotate,0.441
announcement,0.482
annoy,0.286
annoyance,0.342
annoyed,0.345
annoyin,0.352
annoying,0.348
annoys,0.435
annul,0.364
annular,0.412
annulment,0.447
annulus,0.376
anomalous,0.423
anomaly,0.404
anon,0.298
anonymity,0.43
anonymous,0.431
anorexic,0.245
ant,0.216
ante,0.417
antenna,0.358
anterior,0.362
anthill,0.377
anthropological,0.49
anti,0.384
antics,0.236
antifungal,0.441
antimony,0.49
antipathy,0.393
antiquarian,0.426
antiquated,0.236
antisocial,0.391
antithetical,0.358
antsy,0.417
anus,0.35
anxiety,0.342
anxietyattack,0.446
anxious,0.434
anxiousness,0.282
anytime,0.436
aortic,0.438
apartments,0.443
apathetic,0.333
apathy,0.204
ape,0.336
apex,0.418
aphid,0.407
apiece,0.383
apologize,0.389
apology,0.402
appalling,0.415
apparatus,0.377
apparel,0.453
apparent,0.398
apparently,0.426
appease,0.434
append,0.453
appendage,0.438
appendicitis,0.347
appendix,0.425
appetizer,0.406
applaud,0.464
apple,0.264
apple juice,0.294
applejack,0.473
applesauce,0.291
apportionment,0.453
apprehension,0.454
apprehensive,0.431
apprentice,0.452
approaching,0.491
approximating,0.471
apricot,0.278
apron,0.245
apt,0.382
aqua,0.359
aquamarine,0.413
aquarium,0.393
aquatic,0.463
aqueous,0.31
arable,0.465
arc,0.396
arch,0.468
archaic,0.332
arched,0.398
area,0.464
arena,0.404
areola,0.381
areyoukidding,0.4
areyoukiddingme,0.375
argent,0.472
argh,0.328
arghh,0.397
arghhhh,0.324
arid,0.379
arm,0.469
armchair,0.339
armpit,0.25
arms,0.483
aroma,0.442
aromatherapy,0.473
arrears,0.302
arrhythmia,0.356
arrival,0.474
arrow,0.454
arsehole,0.433
arseholes,0.351
arsenic,0.447
arthritis,0.345
arthropod,0.434
artichoke,0.287
article,0.481
artifice,0.482
artificial,0.351
artisan,0.411
arty,0.388
asbestos,0.464
ascetic,0.472
ash,0.207
ashamed,0.228
ashes,0.142
ashtray,0.265
asinine,0.433
ask,0.459
asleeep,0.322
asleep,0.27
asp,0.375
asparagus,0.264
aspartame,0.322
aspen,0.395
asphalt,0.439
asphyxia,0.311
asphyxiation,0.412
aspirin,0.422
ass,0.345
asshole,0.263
assimilation,0.463
assorted,0.472
assume,0.464
assumed,0.454
assumption,0.417
asterisk,0.273
asthma,0.227
asthmatic,0.294
astigmatism,0.429
astound,0.474
astray,0.308
astringent,0.474
asunder,0.259
asylum,0.445
asymmetric,0.465
asymptotic,0.472
atheism,0.481
atheist,0.377
atheistic,0.466
atherosclerosis,0.343
atoll,0.472
atom,0.433
atone,0.411
atrium,0.473
atrocious,0.445
atrophy,0.208
attached,0.439
attempt,0.431
attentionseeker,0.457
attenuate,0.429
attenuated,0.298
attenuation,0.464
attic,0.377
attire,0.483
attrition,0.259
auburn,0.411
audible,0.462
audio,0.37
aught,0.217
august,0.462
aunt,0.42
auntie,0.447
austere,0.422
autism,0.447
autistic,0.404
autograph,0.473
autumn,0.45
avarice,0.352
avenue,0.377
aver,0.393
average,0.455
aversation,0.432
averse,0.492
avert,0.465
aviary,0.467
avocado,0.287
avoid,0.415
avoidance,0.466
avoiding,0.309
await,0.276
awe,0.3
awed,0.361
awful,0.45
awkward,0.358
awkwardness,0.148
awning,0.318
awry,0.275
axial,0.491
axis,0.356
axle,0.473
ay,0.255
aye,0.392
azimuth,0.421
azure,0.339
babble,0.204
babbling,0.241
babe,0.424
baboon,0.429
baby,0.455
babysit,0.398
babysitter,0.408
baccalaureate,0.48
baccarat,0.436
bachelorette,0.465
back,0.336
backboard,0.436
backdoor,0.333
backdrop,0.444
backfire,0.491
backgammon,0.39
background,0.498
backhand,0.39
backoff,0.24
backpack,0.333
backpacker,0.46
backroom,0.387
backseat,0.237
backside,0.342
backtrack,0.278
backward,0.25
backwardness,0.136
backwards,0.33
backwater,0.161
backwoods,0.482
backyard,0.302
bacon,0.295
bacterial,0.473
bacterium,0.345
bad,0.373
badday,0.373
badfeeling,0.365
badger,0.357
badhabit,0.311
badly,0.286
badness,0.463
baffle,0.482
baffled,0.339
bag,0.314
bagel,0.34
baggage,0.427
baggie,0.366
baggy,0.452
bagman,0.394
bagpipes,0.412
bait,0.296
bakery,0.38
baking,0.451
bal,0.432
balcony,0.38
bald,0.268
balding,0.368
baldy,0.396
bale,0.412
balk,0.415
ball,0.317
ballad,0.424
ballast,0.287
ballerina,0.475
ballet,0.358
ballgame,0.407
balloon,0.315
ballot,0.358
ballpoint,0.318
ballroom,0.448
ballsy,0.414
balm,0.414
balsam,0.385
balsamic,0.447
bam,0.39
bamboo,0.356
banana,0.241
bandage,0.286
bandanna,0.277
bane,0.366
banished,0.37
banishment,0.298
banister,0.332
banjo,0.37
bankrupt,0.337
bankruptcy,0.209
banner,0.474
banshee,0.481
banter,0.464
banzai,0.443
bar,0.481
barb,0.417
barbecue,0.456
barbed,0.455
barber,0.356
barbershop,0.382
barbie doll,0.33
bard,0.439
bare,0.296
bareback,0.373
barefoot,0.241
barely,0.268
barf,0.394
barge,0.465
barium,0.377
bark,0.395
barkeep,0.454
barks,0.325
barley,0.296
barmaid,0.44
barman,0.4
barn,0.425
barnacle,0.457
barney,0.44
barnyard,0.336
baroque,0.418
barrack,0.455
barrel,0.474
barren,0.221
barring,0.42
barroom,0.47
barrow,0.362
baseboard,0.405
baseless,0.375
baseman,0.462
basement,0.268
bash,0.463
bashful,0.217
basic,0.395
basics,0.491
basil,0.309
basin,0.398
basis,0.426
bask,0.381
basket,0.336
basketball,0.435
bass,0.268
bass guitar,0.294
basso,0.439
bassoon,0.31
bastard,0.289
bastarding,0.269
bastards,0.422
bat,0.48
batch,0.357
bate,0.464
bath,0.263
bathe,0.371
bathhouse,0.459
bathing,0.361
bathrobe,0.394
bathroom,0.345
bathtub,0.318
batter,0.373
battered,0.306
battering,0.49
battery,0.442
batty,0.274
bauble,0.255
bayou,0.324
bday,0.415
beach,0.455
bead,0.381
beading,0.398
beady,0.443
beagle,0.395
beak,0.411
beaker,0.391
beam,0.382
bean,0.264
beanbag,0.34
beanie,0.263
bear,0.475
beard,0.371
bearded,0.391
bearing,0.474
bearings,0.426
bearish,0.324
bearskin,0.464
beat,0.492
beaten,0.265
beater,0.482
beating,0.481
beatnik,0.382
beau,0.432
beaver,0.393
bebop,0.358
beck,0.418
beckon,0.452
bed,0.327
bedding,0.377
bedpan,0.362
bedroom,0.491
bedside,0.375
bedspread,0.292
bedtime,0.373
bee,0.309
beef,0.492
beefsteak,0.455
beehive,0.422
beep,0.304
beeper,0.441
bees,0.412
beeswax,0.375
beetle,0.295
befitting,0.394
befriend,0.471
befuddled,0.269
beg,0.328
beggar,0.116
begging,0.202
beginner,0.387
begrudge,0.377
begun,0.404
behold,0.449
beholden,0.212
beige,0.224
belated,0.214
belch,0.24
belittle,0.25
belittled,0.226
bellboy,0.302
bellhop,0.318
bellman,0.371
bellow,0.212
bellows,0.429
belly,0.387
bellybutton,0.36
belt,0.445
beluga,0.482
bemused,0.278
bend,0.368
bender,0.466
bending,0.455
beneath,0.233
benedictory,0.481
bent,0.298
benzene,0.403
bereaved,0.221
bereft,0.336
beret,0.327
bergamot,0.339
berserk,0.48
beryllium,0.425
beset,0.317
bet,0.432
beta,0.439
betrayal,0.418
betrayed,0.308
betting,0.411
betty,0.381
bevel,0.454
beverage,0.389
bewilder,0.289
bewildered,0.3
bewilderment,0.216
biased,0.368
bib,0.339
bicarbonate,0.438
bicolor,0.404
bicycle,0.425
bidder,0.433
bide,0.282
biennial,0.353
bier,0.407
bifurcation,0.352
bigamy,0.482
biggestfear,0.48
bigmouth,0.43
bigoted,0.462
bigotry,0.481
bike,0.333
bikini,0.353
bilateral,0.491
bilayer,0.388
bile,0.324
bilge,0.412
billboard,0.481
billiards,0.387
billy,0.375
bimbo,0.3
bimonthly,0.471
bin,0.327
binary,0.42
bind,0.448
binder,0.308
bindery,0.482
bing,0.415
bingo,0.429
binocular,0.426
binoculars,0.411
binomial,0.426
bio,0.49
biopsy,0.481
bipartite,0.464
bipolar,0.426
birch,0.382
bird,0.364
birdcage,0.318
birdie,0.407
birthplace,0.491
bis,0.345
biscuit,0.231
bisexual,0.459
bisque,0.312
bistro,0.396
bit,0.225
bitch,0.343
bitchy,0.373
bitsy,0.382
bitter,0.411
bitterly,0.362
bitterness,0.27
bittersweet,0.474
bitty,0.257
bitumen,0.307
biweekly,0.455
biz,0.473
bizarre,0.392
blab,0.353
blabbermouth,0.422
black,0.39
blackberry,0.453
blackbird,0.405
blackboard,0.287
blacken,0.228
blackface,0.441
blackjack,0.452
blacklist,0.396
blackmail,0.482
blackmailer,0.472
blackness,0.406
blackout,0.349
bladder,0.33
blame,0.309
blameless,0.343
bland,0.157
blank,0.25
blanket,0.391
blase,0.412
blasphemous,0.491
blasphemy,0.406
blather,0.382
blazer,0.417
bleach,0.337
bleak,0.272
bleed,0.346
bleeder,0.356
bleeding,0.408
bleep,0.345
blemish,0.272
blemished,0.37
blend,0.463
blender,0.351
bleu,0.379
blight,0.429
blighted,0.296
blind,0.184
blinded,0.231
blindfold,0.337
blindfolded,0.209
blinding,0.406
blindly,0.278
blindness,0.196
blink,0.324
blip,0.418
blister,0.402
blistering,0.39
blizzard,0.417
bloat,0.298
bloated,0.424
blob,0.298
block,0.402
blockage,0.444
blockhead,0.148
blog,0.432
blond,0.49
blonde,0.412
bloodbath,0.475
bloodless,0.212
bloodshot,0.482
bloomers,0.395
blossom,0.309
blot,0.223
blotched,0.264
blotter,0.28
blouse,0.302
blowfish,0.389
blowing,0.434
blowjob,0.387
blown,0.412
blubber,0.36
bluddy,0.442
blue,0.291
blue spruce,0.364
blueberry,0.365
bluebird,0.45
bluegrass,0.395
bluejay,0.31
blueprint,0.425
blues,0.287
bluff,0.377
bluish,0.382
blunder,0.145
blur,0.205
blurred,0.231
blurry,0.218
blurt,0.441
blush,0.445
blushing,0.288
boar,0.351
board,0.385
board game,0.349
boarder,0.475
boathouse,0.404
boatload,0.485
bobbin,0.353
bobsled,0.325
bode,0.411
bodega,0.398
bodice,0.386
bog,0.365
bogey,0.368
bogus,0.144
bohemian,0.407
boil,0.433
boilerplate,0.387
bold,0.483
bollocks,0.327
bolt,0.426
bolus,0.352
bonbon,0.446
bondage,0.355
bone,0.413
boner,0.393
bones,0.358
bonfire,0.473
bong,0.375
bonkers,0.278
bonne,0.362
bonnet,0.473
bonny,0.444
bonsai,0.375
bony,0.33
boo,0.309
boob,0.392
booby,0.185
booger,0.427
boogie,0.4
bookcase,0.49
bookish,0.43
bookkeeper,0.468
booklet,0.351
bookmark,0.415
books,0.43
bookseller,0.456
bookshop,0.389
bookworm,0.316
boomer,0.441
boooo,0.255
booth,0.31
bootleg,0.466
boots,0.35
booze,0.431
bop,0.426
bopper,0.385
border,0.424
bordering,0.438
borderline,0.49
bore,0.455
boreal,0.4
bored,0.196
boredom,0.255
boring,0.125
boron,0.375
borough,0.38
borrow,0.282
bosom,0.404
botanical,0.491
botanist,0.456
bother,0.37
bothering,0.449
bottle,0.336
bottleneck,0.287
bottling,0.37
bottom,0.291
bottomless,0.368
botulism,0.386
bounce,0.386
bouncy,0.429
bound,0.31
bouquet,0.306
bourse,0.336
boutique,0.441
bouttime,0.41
bovine,0.353
bow,0.408
bowed,0.368
bowel,0.391
bowels,0.362
bowl,0.358
bowler,0.481
bowling,0.309
bowls,0.277
box,0.312
boxcar,0.421
boy,0.445
boyish,0.462
boysenberry,0.475
bozo,0.298
brace,0.364
bracelet,0.322
brachial,0.464
brackets,0.435
brackish,0.421
brad,0.402
braid,0.216
brainless,0.224
brainwash,0.481
brake,0.31
bran,0.483
branch,0.25
branching,0.472
brandy,0.487
brass,0.49
brassiere,0.336
brat,0.231
bratwurst,0.464
breach,0.423
bread,0.342
break,0.37
breakable,0.408
breakdown,0.361
breakers,0.439
breakfast,0.429
breakup,0.357
breath,0.451
breather,0.388
breathless,0.222
breech,0.422
breeches,0.333
breeze,0.37
breezy,0.482
breve,0.191
brevity,0.375
briar,0.407
bribe,0.472
brick,0.368
bridle,0.386
brief,0.279
briefcase,0.442
briefly,0.33
brim,0.33
brimstone,0.44
brine,0.361
bring,0.462
brink,0.356
brisket,0.222
bristle,0.326
brittle,0.272
broadcast,0.355
broadside,0.462
brocade,0.464
broccoli,0.283
brochure,0.391
broil,0.33
broke,0.37
broken,0.293
brokenheart,0.343
brokenhearted,0.227
bromide,0.411
bronco,0.473
brooch,0.38
brood,0.434
brooding,0.333
brook,0.412
broom,0.302
broomstick,0.227
broth,0.168
brothel,0.418
brow,0.481
brown,0.293
brownstone,0.439
brrr,0.282
bruise,0.474
bruising,0.422
brunch,0.343
brunt,0.349
brush,0.186
brute,0.379
bubble,0.364
bubbling,0.384
bubbly,0.462
bubonic,0.394
buckaroo,0.479
bucket,0.336
buckle,0.361
buckled,0.439
bucko,0.465
buckshot,0.322
buckwheat,0.434
bud,0.333
buddhist,0.481
budding,0.355
buff,0.361
buffer,0.35
buffering,0.381
buffoon,0.29
bug,0.246
bugaboo,0.441
bugger,0.474
buggy,0.327
bugle,0.391
bugler,0.393
bulb,0.3
bulbous,0.43
bulge,0.4
bulimic,0.373
bulkhead,0.402
bulletin,0.361
bullfrog,0.422
bullock,0.375
bullshit,0.183
bum,0.155
bumblebee,0.321
bummed,0.227
bummer,0.267
bump,0.368
bumpy,0.419
bun,0.268
bunch,0.473
bundle,0.434
bungalow,0.406
bungee,0.327
bunghole,0.396
bunion,0.29
bunk,0.339
bunkhouse,0.407
bunny,0.194
bunt,0.349
buoy,0.284
buoyant,0.497
bur,0.314
burdensome,0.419
burger,0.398
burglar,0.404
burial,0.333
buried,0.37
burke,0.451
burlap,0.411
burlesque,0.343
burned,0.347
burner,0.446
burning,0.412
burnished,0.464
burnout,0.24
burnt,0.356
burp,0.432
burr,0.308
burrito,0.166
burro,0.318
burrow,0.355
bury,0.346
bus,0.4
busboy,0.441
bush,0.315
bushel,0.368
bushy,0.427
busload,0.492
buss,0.391
bust,0.42
busted,0.345
buster,0.483
bustle,0.445
busy,0.474
busybody,0.472
butane,0.38
butler,0.438
butt,0.336
butter,0.202
buttercup,0.422
butterfly,0.314
buttermilk,0.304
butterscotch,0.356
buttery,0.303
buttock,0.288
buttocks,0.365
button,0.343
buzz,0.375
buzzard,0.225
buzzed,0.448
buzzer,0.48
buzzing,0.37
bye,0.321
bygone,0.315
byline,0.435
bypass,0.353
bystander,0.491
byte,0.407
byzantine,0.492
cab,0.421
cabana,0.407
cabaret,0.482
cabbage,0.264
cabbie,0.429
cabernet,0.48
cabin,0.43
cabinet,0.465
cable,0.434
caboodle,0.325
caboose,0.438
cabriolet,0.472
cache,0.389
cacophony,0.44
cactus,0.284
cad,0.404
cadaver,0.26
caddie,0.259
caddy,0.38
cadence,0.355
cafe,0.358
cafeteria,0.382
cage,0.352
cahoots,0.474
cairn,0.254
cake,0.287
cakewalk,0.447
calamari,0.406
calamity,0.343
calcareous,0.462
calcium,0.479
calculate,0.44
calendar,0.473
calender,0.451
calf,0.336
calico,0.491
calipers,0.481
callback,0.434
caller,0.472
calling,0.483
callous,0.386
calm,0.282
calming,0.36
calmness,0.394
caloric,0.448
calorie,0.427
calorimeter,0.414
cam,0.355
camber,0.439
camcorder,0.454
camel,0.314
camera,0.379
camisole,0.375
camouflage,0.45
camper,0.482
campfire,0.436
camping,0.48
can,0.454
can opener,0.308
canal,0.321
canary,0.265
cancel,0.368
canceling,0.349
cancellation,0.389
candid,0.458
candied,0.36
candle,0.344
candlelight,0.417
candles,0.268
candy,0.384
cane,0.398
canine,0.425
canister,0.403
canker,0.427
canned,0.298
cannibal,0.48
canning,0.259
canoe,0.418
canopy,0.398
cantaloupe,0.276
cantbreathe,0.375
canthandleit,0.354
cantilever,0.421
cantina,0.38
cantstandit,0.343
cantwin,0.298
canvas,0.364
canvass,0.397
cap,0.375
cape,0.357
caper,0.326
capillary,0.395
cappuccino,0.384
caprice,0.43
caps,0.368
capslock,0.398
caption,0.379
captive,0.411
captivity,0.387
caramel,0.4
caravan,0.455
carbon,0.35
carcass,0.309
carcinoma,0.44
card,0.436
cardboard,0.309
cardigan,0.264
cards,0.32
careless,0.125
carelessness,0.33
cargo,0.455
caribou,0.342
caricature,0.383
caries,0.283
carjack,0.439
carnal,0.421
carnation,0.431
carol,0.436
carols,0.491
carousel,0.412
carp,0.375
carpal,0.42
carpet,0.339
carpeting,0.444
carriage,0.491
carrot,0.279
carrying,0.443
carsick,0.255
cart,0.388
carte,0.274
carter,0.431
cartilage,0.407
cartographic,0.424
carton,0.241
cartoon,0.387
cartouche,0.45
cartridge,0.407
carving,0.368
cascade,0.395
case,0.441
casein,0.415
cashier,0.484
cashmere,0.439
casing,0.328
cask,0.444
casket,0.346
casserole,0.328
cassette,0.355
castaway,0.422
caste,0.374
castor,0.368
castration,0.381
casual,0.385
casually,0.333
casualty,0.132
cat,0.37
catchphrase,0.433
catchy,0.462
caterpillar,0.33
cates,0.407
catfish,0.296
catheter,0.373
cathouse,0.363
catnip,0.296
cattle,0.445
catwalk,0.464
caucus,0.491
cauldron,0.418
cauliflower,0.231
caulk,0.418
causal,0.491
causality,0.336
cause,0.486
caused,0.382
causeway,0.422
cave,0.38
caveat,0.484
caveman,0.482
cavern,0.365
cavernous,0.462
caviar,0.481
cavity,0.379
cayenne,0.355
cease,0.42
cede,0.402
ceiling,0.366
celery,0.223
celibate,0.391
cell,0.465
cellar,0.406
cellist,0.486
cellmate,0.349
cellophane,0.289
cellulite,0.256
celluloid,0.425
cemetery,0.417
censorship,0.421
censure,0.417
cent,0.402
center,0.431
centerfold,0.485
centimeter,0.38
centipede,0.361
centrifugal,0.48
ceramic,0.371
ceramics,0.373
cereal,0.316
cereals,0.311
cervical,0.445
cervix,0.34
cess,0.406
cessation,0.358
cesspool,0.409
cha cha,0.324
chaff,0.188
chafing,0.368
chagrin,0.472
chagrined,0.361
chai,0.363
chair,0.276
chaise,0.327
chalet,0.278
chalk,0.121
chamber,0.455
chambermaid,0.336
chambers,0.388
chameleon,0.345
champagne,0.454
chandelier,0.366
chandler,0.454
changed,0.491
changing,0.461
channel,0.405
chaos,0.373
chaotic,0.442
chap,0.345
chapel,0.44
chaperon,0.404
chapman,0.465
chaps,0.35
chapter,0.461
char,0.404
charade,0.346
charcoal,0.342
chardonnay,0.492
chargeable,0.453
chariot,0.491
charlatan,0.352
charred,0.373
chart,0.33
chartered,0.49
chased,0.287
chassis,0.444
chaste,0.453
chastened,0.345
chastisement,0.462
chat,0.346
chatter,0.347
chatterbox,0.482
chattering,0.304
chatty,0.345
chauffeur,0.471
cheap,0.272
cheapened,0.282
cheapskate,0.327
cheat,0.4
cheater,0.333
checkbook,0.364
checkered,0.336
checkers,0.437
checkup,0.491
cheek,0.421
cheeks,0.282
cheeky,0.41
cheep,0.373
cheerleading,0.404
cheerless,0.167
cheery,0.486
cheese,0.281
cheeseburger,0.336
cheesecake,0.238
cheesy,0.179
chemise,0.364
chemo,0.444
cherry,0.25
cherub,0.455
chest,0.481
chestnut,0.294
chew,0.404
chewy,0.39
chic,0.38
chicane,0.481
chick,0.387
chicken,0.394
chicken pox,0.415
chickenpox,0.357
chiffon,0.25
child,0.413
childhood,0.307
childish,0.23
childless,0.396
childlike,0.293
childloss,0.421
children,0.435
chili,0.433
chill,0.482
chilled,0.482
chilling,0.358
chilly,0.408
chime,0.464
chimera,0.372
chimes,0.402
chimney,0.225
chimp,0.345
chimpanzee,0.387
chin,0.269
chinchilla,0.286
chine,0.352
chinook,0.491
chip,0.452
chipmunk,0.409
chipping,0.353
chirp,0.365
chirping,0.36
chisel,0.452
chiseler,0.464
chit,0.321
chitchat,0.403
chloride,0.474
chlorine,0.332
chloroform,0.393
chocolate,0.418
choir,0.473
cholesterol,0.398
chop,0.467
chopping,0.362
chops,0.269
choral,0.421
chords,0.388
chow,0.39
chowder,0.241
christmaseve,0.463
chromatic,0.435
chrome,0.421
chromium,0.447
chronic,0.464
chubby,0.304
chuck,0.413
chuckle,0.481
chug,0.358
chump,0.304
chunk,0.214
churchyard,0.347
churn,0.407
chute,0.455
chutney,0.4
ciao,0.409
cider,0.398
cigar,0.346
cigarette,0.304
cilantro,0.208
cinch,0.387
cinder,0.157
cinnamon,0.292
circle,0.343
circling,0.336
circular,0.417
circulate,0.32
circumference,0.488
circumstances,0.464
circumvent,0.383
circumvention,0.473
circus,0.432
cirque,0.467
cirrhosis,0.37
cirrus,0.348
cistern,0.432
citrine,0.42
citrus,0.375
clad,0.481
claim,0.473
clam,0.272
clambake,0.429
clammy,0.236
clamor,0.36
clamp,0.454
clandestine,0.469
clapper,0.42
clarinet,0.411
clarion,0.422
clash,0.453
clasp,0.241
classroom,0.363
clatter,0.387
claustrophobia,0.333
claustrophobic,0.4
clavicle,0.452
clay,0.267
cleaner,0.375
cleaning,0.427
cleanser,0.433
cleansing,0.472
cleanup,0.451
clearance,0.473
cleat,0.361
cleavage,0.454
cleave,0.389
cleaver,0.434
cleft,0.36
clemency,0.397
clerical,0.491
click,0.268
clicker,0.463
climate,0.483
clinch,0.43
clingy,0.37
clink,0.319
clip,0.381
clipboard,0.423
clipper,0.383
clipping,0.405
clique,0.391
clitoris,0.464
cloak,0.333
cloaking,0.389
cloakroom,0.397
clobber,0.464
clock,0.407
clod,0.365
clog,0.454
cloister,0.475
close,0.263
closed,0.318
closeness,0.45
closet,0.33
closure,0.412
clot,0.275
cloth,0.287
clothe,0.481
clothes,0.414
clothesline,0.366
clothing,0.407
cloud,0.342
clouded,0.302
cloudiness,0.343
clouds,0.324
cloudy,0.202
clove,0.315
clover,0.364
cloves,0.396
clown,0.3
clowns,0.391
club,0.393
clubhouse,0.493
cluck,0.353
clue,0.412
clueless,0.161
clumsy,0.144
clunk,0.407
cluster,0.446
clutch,0.491
clutter,0.4
coagulation,0.436
coal,0.34
coarse,0.481
coast,0.458
coastline,0.441
coat,0.464
coax,0.447
cobalt,0.441
cobble,0.368
cobbler,0.318
cocaine,0.373
cock,0.392
cockamamie,0.382
cockeyed,0.423
cockpit,0.343
cockroach,0.196
cocksucker,0.339
cocktail,0.381
cocoa,0.322
coconut,0.227
cocoon,0.29
cod,0.304
code,0.491
codeine,0.436
codfish,0.3
coed,0.481
coffee,0.309
coffee table,0.295
coffeehouse,0.307
coffeepot,0.312
coffin,0.343
cog,0.363
cognac,0.43
cognate,0.398
coil,0.298
coiled,0.389
coin,0.445
coincidental,0.337
coke,0.397
cola,0.24
cold,0.348
coldly,0.407
coldness,0.427
coldsweat,0.327
coleslaw,0.336
colic,0.361
collage,0.375
collagen,0.45
collapse,0.342
collar,0.446
collarbone,0.306
collect,0.491
collie,0.328
colloquial,0.368
collusion,0.4
colon,0.384
colonic,0.43
colonoscopy,0.466
colophon,0.385
color,0.402
coloration,0.443
colored,0.275
coloring,0.353
colorless,0.25
colors,0.34
columbine,0.407
columnar,0.491
com,0.382
coma,0.302
comatose,0.433
comb,0.268
combinatorial,0.428
combo,0.453
comedy,0.49
comet,0.471
comfortable,0.473
comforter,0.302
comic,0.387
comical,0.327
comics,0.384
comma,0.242
comment,0.379
commentary,0.446
commie,0.454
commit,0.491
common,0.318
commoner,0.327
commonplace,0.442
comp,0.371
compactness,0.454
