song_id,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q
ML48,MoodyLyrics4Q,Poor Thing,Helena Bonham Carter & Johnny Depp,,,,,,sad,negative
ML49,MoodyLyrics4Q,The World Needs a Hero,Megadeth,,,,,,angry,negative
ML50,MoodyLyrics4Q,Life Is A Pigsty,Morrissey,,,,,,sad,negative
ML51,MoodyLyrics4Q,Agitated,Muse,,,,,,angry,negative
ML52,MoodyLyrics4Q,Fields Of Gold,Fourplay,,,,,,relaxed,positive
ML53,MoodyLyrics4Q,Summer Nights,Rascal Flatts,,,,,,happy,positive
ML54,MoodyLyrics4Q,Adios Ayer,José Padilla,,,,,,relaxed,positive
ML55,MoodyLyrics4Q,Jungle Drums,Emiliana Torrini,,,,,,happy,positive
ML56,MoodyLyrics4Q,The Breeze,Dr. Dog,,,,,,relaxed,positive
ML57,MoodyLyrics4Q,Bees & butterflies,Girls In Hawaii,,,,,,relaxed,positive
ML58,MoodyLyrics4Q,Dirge Inferno,Cradle of Filth,,,,,,angry,negative
ML59,MoodyLyrics4Q,Big Big Love (Fig. 2),Foals,,,,,,relaxed,positive
ML60,MoodyLyrics4Q,Welcome Home (Sanitarium),Metallica,,,,,,sad,negative
ML61,MoodyLyrics4Q,Little Bird,Imogen Heap,,,,,,relaxed,positive
ML62,MoodyLyrics4Q,Do You Know How It Feels,The Flying Burrito Brothers,,,,,,sad,negative
ML63,MoodyLyrics4Q,Easier,Grizzly Bear,,,,,,relaxed,positive
ML64,MoodyLyrics4Q,Sinners Like Me,Eric Church,,,,,,relaxed,positive
ML65,MoodyLyrics4Q,Roll On Down The Highway,Bachman-Turner Overdrive,,,,,,happy,positive
ML66,MoodyLyrics4Q,Gimme All Your Lovin',ZZ Top,,,,,,happy,positive
ML67,MoodyLyrics4Q,War?,System of a Down,,,,,,angry,negative
ML68,MoodyLyrics4Q,Feuer Frei!,Nachtmahr,,,,,,angry,negative
ML69,MoodyLyrics4Q,Bali Ha'i,Stacey Kent,,,,,,relaxed,positive
ML70,MoodyLyrics4Q,You Belong With Me,Taylor Swift,,,,,,happy,positive
ML71,MoodyLyrics4Q,Only Anarchists Are Pretty,The World/Inferno Friendship Society,,,,,,happy,positive
ML72,MoodyLyrics4Q,Like my very own blood,Tiger Lou,,,,,,sad,negative
ML73,MoodyLyrics4Q,Spiritual Law,Slayer,,,,,,angry,negative
ML74,MoodyLyrics4Q,Stupid Girl,COLD,,,,,,angry,negative
ML75,MoodyLyrics4Q,Torn Blue Foam Couch,Grand Archives,,,,,,relaxed,positive
ML76,MoodyLyrics4Q,Turu Tu Tu...,Ania,,,,,,sad,negative
ML77,MoodyLyrics4Q,"New York, New York",Reel Big Fish,,,,,,happy,positive
ML78,MoodyLyrics4Q,Hot Girls In Love,Loverboy,,,,,,happy,positive
ML79,MoodyLyrics4Q,Bullet Train,Judas Priest,,,,,,angry,negative
ML80,MoodyLyrics4Q,The Wandering,The Foreshadowing,,,,,,sad,negative
ML81,MoodyLyrics4Q,Hurtful,Erik Hassle,,,,,,sad,negative
ML82,MoodyLyrics4Q,Girls & Boys,Good Charlotte,,,,,,happy,positive
ML83,MoodyLyrics4Q,Before,Riverside,,,,,,sad,negative
ML84,MoodyLyrics4Q,The One For You,Saybia,,,,,,sad,negative
ML85,MoodyLyrics4Q,Bricks And Mortar,The Jam,,,,,,angry,negative
ML86,MoodyLyrics4Q,The Divine Wings Of Tragedy,Symphony X,,,,,,sad,negative
ML87,MoodyLyrics4Q,Scentless Apprentice,Nirvana,,,,,,angry,negative
ML88,MoodyLyrics4Q,End Of The Run,Deborah Harry,,,,,,sad,negative
ML89,MoodyLyrics4Q,Man! I Feel Like A Woman!,Shania Twain,,,,,,happy,positive
ML90,MoodyLyrics4Q,Mamma,Björn Rosenström,,,,,,happy,positive
ML91,MoodyLyrics4Q,The Boys Of Summer,The Ataris,,,,,,happy,positive
ML92,MoodyLyrics4Q,U-Haul,Angie Stone,,,,,,relaxed,positive
ML93,MoodyLyrics4Q,Dirty Mind,The Pipettes,,,,,,happy,positive
ML94,MoodyLyrics4Q,If The Lights Go Out,Katie Melua,,,,,,relaxed,positive
ML95,MoodyLyrics4Q,My Old Man,Steve Goodman,,,,,,sad,negative
ML96,MoodyLyrics4Q,Deutschland (Has Gotta Die!),Atari Teenage Riot,,,,,,angry,negative
ML97,MoodyLyrics4Q,Sunday Bloody Sunday,U2,,,,,,angry,negative
ML98,MoodyLyrics4Q,Lethal,Longing for Dawn,,,,,,sad,negative
ML99,MoodyLyrics4Q,Metal Militia,Metallica,,,,,,angry,negative
ML100,MoodyLyrics4Q,Crazy Little Thing Called Love,Queen,,,,,,happy,positive
ML101,MoodyLyrics4Q,Psycho Killer,Talking Heads,,,,,,angry,negative
ML102,MoodyLyrics4Q,Lilacs,Matt Costa,,,,,,relaxed,positive
ML103,MoodyLyrics4Q,I Like to Move It,Reel 2 Real,,,,,,happy,positive
ML104,MoodyLyrics4Q,Already Gone,Kelly Clarkson,,,,,,sad,negative
ML105,MoodyLyrics4Q,You're My Thrill,Diana Krall,,,,,,relaxed,positive
ML106,MoodyLyrics4Q,We Don't Care,Kanye West,,,,,,happy,positive
ML107,MoodyLyrics4Q,Tennessee Train Tracks,Rocky Votolato,,,,,,relaxed,positive
ML108,MoodyLyrics4Q,A Conversation With God,Darren Hayes,,,,,,sad,negative
ML109,MoodyLyrics4Q,"So Come Back, I Am Waiting",Okkervil River,,,,,,sad,negative
ML110,MoodyLyrics4Q,The Bad Touch,Bloodhound Gang,,,,,,happy,positive
ML111,MoodyLyrics4Q,Dig,Mudvayne,,,,,,angry,negative
ML112,MoodyLyrics4Q,Recipe for Hate...Warhorse,Megadeth,,,,,,angry,negative
ML113,MoodyLyrics4Q,Unchained Melody,Peter Sellers,,,,,,happy,positive
ML114,MoodyLyrics4Q,Can't Hardly Wait,The Replacements,,,,,,sad,negative
ML115,MoodyLyrics4Q,Coming Down Again,The Rolling Stones,,,,,,sad,negative
ML116,MoodyLyrics4Q,Swing hum e meio,Móveis Coloniais de Acaju,,,,,,happy,positive
ML117,MoodyLyrics4Q,The Enemy Inside,Dream Theater,,,,,,angry,negative
ML118,MoodyLyrics4Q,Old Dirt Hill (Bring That Beat Back),Dave Matthews Band,,,,,,relaxed,positive
ML119,MoodyLyrics4Q,All My Heart Can Hold,Maggie Reilly,,,,,,sad,negative
ML120,MoodyLyrics4Q,Better People,Xavier Rudd,,,,,,relaxed,positive
ML121,MoodyLyrics4Q,He Stopped Loving Her Today,George Jones,,,,,,sad,negative
ML122,MoodyLyrics4Q,Las Flores,Café Tacuba,,,,,,happy,positive
ML123,MoodyLyrics4Q,"They Do, They Don't",Jack Johnson,,,,,,relaxed,positive
ML124,MoodyLyrics4Q,Crazy Mary,Pearl Jam,,,,,,sad,negative
ML125,MoodyLyrics4Q,Lady Sings The Blues,Billie Holiday,,,,,,sad,negative
ML126,MoodyLyrics4Q,Fall,The Saturdays,,,,,,sad,negative
ML127,MoodyLyrics4Q,My Dearest Darling,Etta James,,,,,,happy,positive
ML128,MoodyLyrics4Q,Don't Stop Now,Guided by Voices,,,,,,sad,negative
ML129,MoodyLyrics4Q,Chinese Takeaway,The Adicts,,,,,,happy,positive
ML130,MoodyLyrics4Q,Chega De Saudade,João Gilberto,,,,,,relaxed,positive
ML131,MoodyLyrics4Q,The Boys Of Summer,DJ Sammy,,,,,,happy,positive
ML132,MoodyLyrics4Q,For The Ladies,Stephen Lynch,,,,,,happy,positive
ML133,MoodyLyrics4Q,Things Can Only Get Better,Howard Jones,,,,,,happy,positive
ML134,MoodyLyrics4Q,Crystal,New Order,,,,,,happy,positive
ML135,MoodyLyrics4Q,We in Here,DMX,,,,,,angry,negative
ML136,MoodyLyrics4Q,Ještě mi scházíš,Jaromír Nohavica,,,,,,sad,negative
ML137,MoodyLyrics4Q,Two Of Those Too (Album Version),Maria Taylor,,,,,,relaxed,positive
ML138,MoodyLyrics4Q,River Card,Atlas Sound,,,,,,relaxed,positive
ML139,MoodyLyrics4Q,The Wake/Hooray Hooray,Tiger Lou,,,,,,relaxed,positive
ML140,MoodyLyrics4Q,Think Twice,Donald Byrd,,,,,,relaxed,positive
ML141,MoodyLyrics4Q,Touched Something's Hollow,of Montreal,,,,,,sad,negative
ML142,MoodyLyrics4Q,Show A Little Faith,Charlotte Church,,,,,,relaxed,positive
ML143,MoodyLyrics4Q,One Of Us Must Know (Sooner Or Later),Bob Dylan,,,,,,sad,negative
ML144,MoodyLyrics4Q,Love Is Strange,Mickey & Sylvia,,,,,,happy,positive
ML145,MoodyLyrics4Q,The Woman By The Well,Sarah Blasko,,,,,,relaxed,positive
ML146,MoodyLyrics4Q,Not Fair,Lily Allen,,,,,,happy,positive
ML147,MoodyLyrics4Q,Cherish The Day,Sade,,,,,,relaxed,positive
ML148,MoodyLyrics4Q,It's A Pity,Tanya Stephens,,,,,,happy,positive
ML149,MoodyLyrics4Q,Sabbath Bloody Sabbath,Black Sabbath,,,,,,angry,negative
ML150,MoodyLyrics4Q,Flick of the Switch,AC/DC,,,,,,angry,negative
ML151,MoodyLyrics4Q,It's Gonna Rain,Violent Femmes,,,,,,happy,positive
ML152,MoodyLyrics4Q,Territory,Sepultura,,,,,,angry,negative
ML153,MoodyLyrics4Q,That's My Job,Conway Twitty,,,,,,sad,negative
ML154,MoodyLyrics4Q,Police Story,Black Flag,,,,,,angry,negative
ML155,MoodyLyrics4Q,Every Day Is Exactly The Same,Nine Inch Nails,,,,,,sad,negative
ML156,MoodyLyrics4Q,Sometimes,Daniel Lanois,,,,,,relaxed,positive
ML157,MoodyLyrics4Q,Love Is Like An Itching In My Heart,The Supremes,,,,,,happy,positive
ML158,MoodyLyrics4Q,Killamangiro,Babyshambles,,,,,,happy,positive
ML159,MoodyLyrics4Q,Drowning,Stabbing Westward,,,,,,sad,negative
ML160,MoodyLyrics4Q,Save Your Scissors,City and Colour,,,,,,relaxed,positive
ML161,MoodyLyrics4Q,Among the Living,Anthrax,,,,,,angry,negative
ML162,MoodyLyrics4Q,War Zone,Slayer,,,,,,angry,negative
ML163,MoodyLyrics4Q,If Loving You Is Wrong,Cassandra Wilson,,,,,,relaxed,positive
ML164,MoodyLyrics4Q,An Ocean Between Us,As I Lay Dying,,,,,,angry,negative
ML165,MoodyLyrics4Q,Nightmare,Avenged Sevenfold,,,,,,angry,negative
ML166,MoodyLyrics4Q,I Don't Like The Vibe In The VIP,ElectroVamp,,,,,,happy,positive
ML167,MoodyLyrics4Q,Sludge Factory,Alice in Chains,,,,,,sad,negative
ML168,MoodyLyrics4Q,Psychotron,Megadeth,,,,,,angry,negative
ML169,MoodyLyrics4Q,Un Poco De Amor,Shakira,,,,,,happy,positive
ML170,MoodyLyrics4Q,Oh My Lord,Nick Cave and the Bad Seeds,,,,,,sad,negative
ML171,MoodyLyrics4Q,Just Can't Last,Natalie Merchant,,,,,,relaxed,positive
ML172,MoodyLyrics4Q,Booksmart Devil,Silversun Pickups,,,,,,relaxed,positive
ML173,MoodyLyrics4Q,No Children,The Mountain Goats,,,,,,sad,negative
ML174,MoodyLyrics4Q,If U Seek Amy,Britney Spears,,,,,,happy,positive
ML175,MoodyLyrics4Q,Dragostea Din Tei,O-Zone,,,,,,happy,positive
ML176,MoodyLyrics4Q,Suicide Solution,Ozzy Osbourne,,,,,,angry,negative
ML177,MoodyLyrics4Q,The Purple People Eater,Sheb Wooley,,,,,,happy,positive
ML178,MoodyLyrics4Q,Ho Visto Un Re,Enzo Jannacci,,,,,,happy,positive
ML179,MoodyLyrics4Q,Dread and the Fugitive Mind,Megadeth,,,,,,angry,negative
ML180,MoodyLyrics4Q,Hope,Jack Johnson,,,,,,relaxed,positive
ML181,MoodyLyrics4Q,More Than You Know,Jane Monheit,,,,,,relaxed,positive
ML182,MoodyLyrics4Q,How I Could Just Kill A Man,Rage Against the Machine,,,,,,angry,negative
ML183,MoodyLyrics4Q,Fire,Jimi Hendrix Experience,,,,,,angry,negative
ML184,MoodyLyrics4Q,I Wanna Be Loved By You,Marilyn Monroe,,,,,,happy,positive
ML185,MoodyLyrics4Q,Distant Lights,Burial,,,,,,sad,negative
ML186,MoodyLyrics4Q,Sadness Is a Blessing,Lykke Li,,,,,,sad,negative
ML187,MoodyLyrics4Q,I Told You So,Carrie Underwood,,,,,,sad,negative
ML188,MoodyLyrics4Q,Lights,Scissor Sisters,,,,,,happy,positive
ML189,MoodyLyrics4Q,Will You Marry Me,Lenny Kravitz,,,,,,happy,positive
ML190,MoodyLyrics4Q,The Needle Lies,Queensryche,,,,,,angry,negative
ML191,MoodyLyrics4Q,The Cry of Mankind,My Dying Bride,,,,,,sad,negative
ML192,MoodyLyrics4Q,7 Things,Miley Cyrus,,,,,,happy,positive
ML193,MoodyLyrics4Q,Vaca que cambia de querencia,Juana Molina,,,,,,relaxed,positive
ML194,MoodyLyrics4Q,If You're Not Scared,K's Choice,,,,,,sad,negative
ML195,MoodyLyrics4Q,Sunworshipper,Mylo,,,,,,relaxed,positive
ML196,MoodyLyrics4Q,Singin' In The Rain,Jamie Cullum,,,,,,relaxed,positive
ML197,MoodyLyrics4Q,I Am the Fly,Wire,,,,,,angry,negative
ML198,MoodyLyrics4Q,Livin' La Vida Loca,Ricky Martin,,,,,,happy,positive
ML199,MoodyLyrics4Q,Limo Wreck,Soundgarden,,,,,,sad,negative
ML200,MoodyLyrics4Q,Bitter Sweet,Sopor Aeternus & The Ensemble Of Shadows,,,,,,sad,negative
ML201,MoodyLyrics4Q,Nosferatu,Blue Öyster Cult,,,,,,angry,negative
ML202,MoodyLyrics4Q,My Evil Plan To Save The World,Five Iron Frenzy,,,,,,happy,positive
ML203,MoodyLyrics4Q,I Know It's True but I'm Sorry to Say,Violent Femmes,,,,,,sad,negative
ML204,MoodyLyrics4Q,Kielbasa,Tenacious D,,,,,,happy,positive
ML205,MoodyLyrics4Q,Sleepers,Saosin,,,,,,angry,negative
ML206,MoodyLyrics4Q,Potters Field,Anthrax,,,,,,angry,negative
ML207,MoodyLyrics4Q,Little Bombs,Aimee Mann,,,,,,sad,negative
ML208,MoodyLyrics4Q,The Red,Chevelle,,,,,,angry,negative
ML209,MoodyLyrics4Q,Blue Sky,Jason Collett,,,,,,relaxed,positive
ML210,MoodyLyrics4Q,All My Friends (John Cale's Version),LCD Soundsystem,,,,,,sad,negative
ML211,MoodyLyrics4Q,Bushes And Briars,Sandy Denny,,,,,,sad,negative
ML212,MoodyLyrics4Q,Punk Rock Superstar,Marcy Playground,,,,,,happy,positive
ML213,MoodyLyrics4Q,Le Vieil Amant,Emilie Simon,,,,,,relaxed,positive
ML214,MoodyLyrics4Q,Your Master Is Calling,Pink Turns Blue,,,,,,sad,negative
ML215,MoodyLyrics4Q,Clear My Head,IVY,,,,,,relaxed,positive
ML216,MoodyLyrics4Q,American Girl,Tom Petty And The Heartbreakers,,,,,,happy,positive
ML217,MoodyLyrics4Q,A Sunday Kind Of Love,Etta James,,,,,,relaxed,positive
ML218,MoodyLyrics4Q,Lonely This Christmas,Mud,,,,,,sad,negative
ML219,MoodyLyrics4Q,Everybody Knows That You Are Insane,Queens Of The Stone Age,,,,,,angry,negative
ML220,MoodyLyrics4Q,These Good People,The Gathering,,,,,,sad,negative
ML221,MoodyLyrics4Q,Cuntry Boys & City Girls,The Fratellis,,,,,,happy,positive
ML222,MoodyLyrics4Q,Puto,Molotov,,,,,,happy,positive
ML223,MoodyLyrics4Q,I Wish,Victoria Beckham,,,,,,happy,positive
ML224,MoodyLyrics4Q,Dizzy,Ours,,,,,,sad,negative
ML225,MoodyLyrics4Q,Walking In Rhythm,The Blackbyrds,,,,,,happy,positive
ML226,MoodyLyrics4Q,Velvet Revolution,Tori Amos,,,,,,sad,negative
ML227,MoodyLyrics4Q,Break on Through (To the Other Side),Doors,,,,,,angry,negative
ML228,MoodyLyrics4Q,FFF,Megadeth,,,,,,angry,negative
ML229,MoodyLyrics4Q,Good Guys & Bad Guys,Camper Van Beethoven,,,,,,happy,positive
ML230,MoodyLyrics4Q,Spirit in Black,Slayer,,,,,,angry,negative
ML231,MoodyLyrics4Q,Keep In Touch,theaudience,,,,,,relaxed,positive
ML232,MoodyLyrics4Q,Roy Walker,Belle and Sebastian,,,,,,happy,positive
ML233,MoodyLyrics4Q,As the Palaces Burn,Lamb of God,,,,,,angry,negative
ML234,MoodyLyrics4Q,Personality Crisis,New York Dolls,,,,,,angry,negative
ML235,MoodyLyrics4Q,Unanswered,Suicide Silence,,,,,,angry,negative
ML236,MoodyLyrics4Q,It's That Time Again,The Dodos,,,,,,sad,negative
ML237,MoodyLyrics4Q,Deliver Me From Mine Enemies,Diamanda Galás,,,,,,angry,negative
ML238,MoodyLyrics4Q,We're Going Wrong,Cream,,,,,,sad,negative
ML239,MoodyLyrics4Q,Edge of the Ocean,IVY,,,,,,relaxed,positive
ML240,MoodyLyrics4Q,Your Pretty Face Is Going to Hell,The Stooges,,,,,,angry,negative
ML241,MoodyLyrics4Q,Worried Eyes,Eagle-Eye Cherry,,,,,,relaxed,positive
ML242,MoodyLyrics4Q,It's Over,Bic Runga,,,,,,sad,negative
ML243,MoodyLyrics4Q,Poetically Pathetic (Acoustic),Amber Pacific,,,,,,sad,negative
ML244,MoodyLyrics4Q,Lovely 2 C U,Goldfrapp,,,,,,happy,positive
ML245,MoodyLyrics4Q,The Night Santa Went Crazy,"""Weird Al"" Yankovic",,,,,,happy,positive
ML246,MoodyLyrics4Q,Are We Still Married?,His Name Is Alive,,,,,,sad,negative
ML247,MoodyLyrics4Q,Simarik,Tarkan,,,,,,happy,positive
ML248,MoodyLyrics4Q,Nada Valgo Sin Tu Amor,Juanes,,,,,,happy,positive
ML249,MoodyLyrics4Q,"Kick, Push",Lupe Fiasco,,,,,,relaxed,positive
ML250,MoodyLyrics4Q,Thank You Very Much,Kaiser Chiefs,,,,,,happy,positive
ML251,MoodyLyrics4Q,Counting Backwards,Throwing Muses,,,,,,angry,negative
ML252,MoodyLyrics4Q,Future Breed Machine,Meshuggah,,,,,,angry,negative
ML253,MoodyLyrics4Q,I Luv It,Young Jeezy,,,,,,angry,negative
ML254,MoodyLyrics4Q,Burn,Three Days Grace,,,,,,angry,negative
ML255,MoodyLyrics4Q,Bring the Noise,Public Enemy,,,,,,angry,negative
ML256,MoodyLyrics4Q,Monday Morning,Maria Mena,,,,,,relaxed,positive
ML257,MoodyLyrics4Q,The Wrong Nigga to Fuck Wit,Ice Cube,,,,,,angry,negative
ML258,MoodyLyrics4Q,Am I Inside,Alice in Chains,,,,,,sad,negative
ML259,MoodyLyrics4Q,Sandy the River Demon,Monkey,,,,,,relaxed,positive
ML260,MoodyLyrics4Q,Ghostbusters,Ray Parker Jr.,,,,,,happy,positive
ML261,MoodyLyrics4Q,Hate Me!,Children of Bodom,,,,,,angry,negative
ML262,MoodyLyrics4Q,Olhos Certos,Detonautas Roque Clube,,,,,,sad,negative
ML263,MoodyLyrics4Q,Gigantic,Pixies,,,,,,happy,positive
ML264,MoodyLyrics4Q,Day,Katatonia,,,,,,sad,negative
ML265,MoodyLyrics4Q,Painter in Your Pocket,Destroyer,,,,,,relaxed,positive
ML266,MoodyLyrics4Q,Belle de Jour,De-Phazz,,,,,,relaxed,positive
ML267,MoodyLyrics4Q,Never Be the Sun,Dolores Keane,,,,,,relaxed,positive
ML268,MoodyLyrics4Q,Bring the Pain,Method Man,,,,,,angry,negative
ML269,MoodyLyrics4Q,Those Three Days,Lucinda Williams,,,,,,sad,negative
ML270,MoodyLyrics4Q,Moto Psycho,Megadeth,,,,,,angry,negative
ML271,MoodyLyrics4Q,Touch Down,Delays,,,,,,relaxed,positive
ML272,MoodyLyrics4Q,Laura,Scissor Sisters,,,,,,happy,positive
ML273,MoodyLyrics4Q,I Like You So Much Better When You're Naked,Ida Maria,,,,,,happy,positive
ML274,MoodyLyrics4Q,Lovesongs (They Kill Me),Cinema Bizarre,,,,,,sad,negative
ML275,MoodyLyrics4Q,Leave My Mind,Lene Marlin,,,,,,relaxed,positive
ML276,MoodyLyrics4Q,You Got By,Sara Gazarek,,,,,,relaxed,positive
ML277,MoodyLyrics4Q,Walk Believer Walk,The Black Crowes,,,,,,happy,positive
ML278,MoodyLyrics4Q,Thank You (Falettinme Be Mice Elf Agin),Sly & The Family Stone,,,,,,happy,positive
ML279,MoodyLyrics4Q,The Lonely,British Sea Power,,,,,,sad,negative
ML280,MoodyLyrics4Q,Autumn Tactics,Chicane,,,,,,relaxed,positive
ML281,MoodyLyrics4Q,Under the Gun,The Sisters Of Mercy,,,,,,sad,negative
ML282,MoodyLyrics4Q,Get Myself on Track,Audio Bullys,,,,,,sad,negative
ML283,MoodyLyrics4Q,The Sleep of No Dreaming,Porcupine Tree,,,,,,sad,negative
ML284,MoodyLyrics4Q,Lazy Girls,Jill Cunniff,,,,,,happy,positive
ML285,MoodyLyrics4Q,Newgrange,Clannad,,,,,,relaxed,positive
ML286,MoodyLyrics4Q,Jackie Jackson,Franz Ferdinand,,,,,,happy,positive
ML287,MoodyLyrics4Q,The Corps Under My Bed,Combichrist,,,,,,sad,negative
ML288,MoodyLyrics4Q,Should've Known Better,Richard Marx,,,,,,sad,negative
ML289,MoodyLyrics4Q,Want,The Cure,,,,,,sad,negative
ML290,MoodyLyrics4Q,I'm on a Boat (feat. T-Pain),The Lonely Island,,,,,,happy,positive
ML291,MoodyLyrics4Q,Faithful ,Common,,,,,,relaxed,positive
ML292,MoodyLyrics4Q,This Place Hotel,The Jacksons,,,,,,sad,negative
ML293,MoodyLyrics4Q,Dirge for November,Opeth,,,,,,sad,negative
ML294,MoodyLyrics4Q,It's A Long Way There,Little River Band,,,,,,relaxed,positive
ML295,MoodyLyrics4Q,11:11,Rufus Wainwright,,,,,,relaxed,positive
ML296,MoodyLyrics4Q,Break The Ice,Britney Spears,,,,,,happy,positive
ML297,MoodyLyrics4Q,Midnight Blue,Electric Light Orchestra,,,,,,relaxed,positive
ML298,MoodyLyrics4Q,We're Not Deep,The Housemartins,,,,,,happy,positive
ML299,MoodyLyrics4Q,Blue Ridge Mountains,Haley Bonar,,,,,,relaxed,positive
ML300,MoodyLyrics4Q,Disguise,Lene Marlin,,,,,,relaxed,positive
ML301,MoodyLyrics4Q,One Step Too Far,Faithless,,,,,,relaxed,positive
ML302,MoodyLyrics4Q,Day One: Vigil,Ayreon,,,,,,sad,negative
ML303,MoodyLyrics4Q,Catch The Rainbow,Rainbow,,,,,,sad,negative
ML304,MoodyLyrics4Q,Greenville,Lucinda Williams,,,,,,sad,negative
ML305,MoodyLyrics4Q,Heart And Shoulder,Heather Nova,,,,,,relaxed,positive
ML306,MoodyLyrics4Q,Long Stick Goes Boom,Krokus,,,,,,angry,negative
ML307,MoodyLyrics4Q,"Mahna, Mahna",Cake,,,,,,happy,positive
ML308,MoodyLyrics4Q,Sweet Darlin',She & Him,,,,,,happy,positive
ML309,MoodyLyrics4Q,Vietnow,Rage Against the Machine,,,,,,angry,negative
ML310,MoodyLyrics4Q,Action,Powerman 5000,,,,,,angry,negative
ML311,MoodyLyrics4Q,All For Swinging You Around,The New Pornographers,,,,,,happy,positive
ML312,MoodyLyrics4Q,Sleep Now In The Fire,Rage Against the Machine,,,,,,angry,negative
ML313,MoodyLyrics4Q,And I'm Evil,Beatallica,,,,,,happy,positive
ML314,MoodyLyrics4Q,Chi,Korn,,,,,,angry,negative
ML315,MoodyLyrics4Q,Neon Moon,Brooks & Dunn,,,,,,sad,negative
ML316,MoodyLyrics4Q,A Dream About You,Keri Noble,,,,,,relaxed,positive
