song_id,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q,lyrics,language
ML1901,MoodyLyrics4Q,T.V. Eye,The Stooges,Rock,,,,,angry,negative,"[Intro] Lord Oh, woo Stop it  [Verse 1] See that cat? Yeah, I do mean you See that cat? Yeah, I do mean you  [Chorus] She got a TV eye on me She got a TV eye She got a TV eye on me Woah  [Verse 2] See that cat? Down on her back See that cat? Down on her back  [Chorus] She got a TV eye on me She got a TV eye She got a TV eye on me Hey  [Verse 3] See that cat? Yeah, I love her so See that cat? Yeah, I love her so  [Chorus] She got a TV eye on me She got a TV eye She got a TV eye on me Woah, yeah  [Instrumental Break]  [Breakdown] Now ram it Now ram it Ram it Ram it Ram it Ram it Ram it Ram it  [Verse 3] See that cat? Yeah, I love her so See that cat? Yeah, I love her so  [Chorus] She got a TV eye on me She got a TV eye She got a TV eye on me Hey",en
ML1902,MoodyLyrics4Q,The View From the Afternoon,Arctic Monkeys,Indie,,,,,happy,positive,"[Refrain] Anticipation has a habit to set you up For disappointment in evening entertainment, but Tonight there'll be some love Tonight there'll be a ruckus, yeah, regardless of what's gone before  [Verse 1] I want to see all of the things that we've already seen The lairy girls hung out the window of the limousine Of course it's fancy dress And they're all looking quite full on in bunny ears and devil horns and how  [Refrain] Anticipation has a habit to set you up For disappointment in evening entertainment, but Tonight there'll be some love Tonight there'll be a ruckus, yeah, regardless of what's gone before  [Verse 2] I want to see all of the things that we've already seen I wanna see you take the jackpot out the fruit machine And put it all back in You've got to understand that you can never beat the bandit, no  [Chorus] And she won't be surprised and she won't be shocked When she's pressed the star after she's pressed unlock And there's verse and chapter sat in her inbox And all that it says is that you've drank the lot  [Post-Chorus] And you should bear that in mind tonight, bear that in mind Yeah, you should bear that in mind tonight, bear that in mind And you can pour your heart out but her reasonin' will block Owt you send her after nine o' clock  [Instrumental Break]  [Refrain] Anticipation has a habit to set you up For disappointment in evening entertainment, but Tonight there'll be some love, oh Tonight there'll be a ruckus, yeah, regardless of what's gone before  [Chorus] And she won't be surprised and she won't be shocked When she's pressed the star after she's pressed unlock And there's verse and chapter sat in her inbox And all that it says is that you've drank the lot  [Post-Chorus] And you should bear that in mind tonight, bear that in mind Yeah, you should bear that in mind tonight, bear that in And you can pour your heart out around three o' clock When the two-for-one's undone the writer's block",en
ML1903,MoodyLyrics4Q,Be Somebody,3 Doors Down,Alternative Rock,,,,,sad,negative,"[Verse 1] The shades gone up Mothers staring down She don't know where he's been Or how long he's been out  [Pre-Chorus] She said, ""Boy, I'm tired of waiting up while you're out with your friends"" He said, ""Mom, I'm trying and I'm living my life the best way that I can""  [Chorus] 'Cause I'm trying to be somebody I'm not trying to be somebody else This life is mine I'm living Don't you know me? I won't ever let you down  [Verse 2] The day has come The sun is moving on She don't know where he'll go Or when he's coming home  [Pre-Chorus] She said, ""Son, take care, don't let your dreams get too far out of sight"" He said, ""I love you. Now, don't worry about me, you know I'll be fine""  [Chorus] 'Cause I'm trying to be somebody I'm not trying to be somebody else This life is mine I'm living Don't you know me? I won't ever let you down No I'm not trying to be somebody else Don't you know me? I won't ever let you I won't ever let you  [Bridge] What they say What they know What they think won't ever bring me down This life is mine And I am my own  [Interlude] I'm trying to be somebody I'm not trying to be somebody else This life is mine I lead Don't you know me?  [Chorus] I'm trying to be somebody I'm not trying to be somebody else This life is mine I'm living Don't you know me? I won't ever let you down  [Outro] I'm not trying to be somebody else Don't you know me? I won't ever let you down I won't be nobody else This life is mine and I am my own",en
ML1904,MoodyLyrics4Q,Sweet Troubled Soul,stellastarr*,,,,,,happy,positive,"[Verse 1] I'm a jealous man Ooh, I can't relate She's a doe-eyed girl Ooh, with no complaints  [Chorus] But there's another side that I'm trying to crack If you open your mind and let me take a stab At the secrets that you know Sweet troubled soul  [Verse 2] She's a summer tramp Ooh, all dressed in black A fluorescent tan Ooh, sweet heart attack  [Chorus] Oh, but there's another side that I'm trying to crack If you open your mind and let me take a stab At the secrets that you know Sweet troubled soul  [Harmonizing Break] Woah (Woah) Woah (Woah) Woah (Woah)  [Post-Chorus] I want to suffer in your arms, woah (Woah) And when you're naked in the dark (Woah) I want to see your face In the reflection of my bedroom stereo We'll take it slow Sweet troubled soul  [Instrumental Break]  [Chorus] But there's another side that I'm trying to crack (Da da da da da) If you open your mind and let me take a stab (Da da da da da) At the secrets that you know Just let it go, woah  [Post-Chorus] I want to suffer in your arms, whoa (Whoa) And when you're naked in the dark I want to see your face (Whoa) In the reflection of my bedroom stereo We'll take it slow Sweet troubled soul  [Outro] Oh, sweet troubled soul Woah Woah Woah (Whoa) Woah (Whoa) Woah (Ah, whoa) Woah (Ah, whoa)",en
ML1905,MoodyLyrics4Q,Carry Me Ohio,Sun Kil Moon,,,,,,sad,negative,"[Verse 1] Sorry that I could never love you back I could never care enough in these last days Her tears fell on her pages Found me well on her words I don't know what to do or say Wading through warm canals and pools clear blue The Tuscarawas flowed into the Great Lakes Riding back where the highway met dead tracks The ground is now cement and glass, so far away  [Chorus] Heal her soul Carry her, my angel, Ohio  [Verse 2] Green, green youth: what about the sweetness we knew? What about what's good, what's true from those days? Can't count to all the lovers I've burnt through So why do I still burn for you? I can't say Sorry that I could never love you back I could never care enough in these last days  [Chorus] Heal her soul Carry her, my angel, Ohio  [Verse 3] Children blessed, gather 'round the home she rests So pull and go over there Midwest, moon and sun Flashes bringing on my open eyes to lightning storm The touch of mist felt soft, felt warm on my face Gray, vague dreams, a million miles ago, you seem A star that I just don't see anymore Words long gone, lost on journeys we walked on Lost are voices are heard along the way Sorry for never going by your door Never feeling love like that anymore  [Chorus] Heal her soul Carry her, my angel, Ohio",en
ML1906,MoodyLyrics4Q,You Make Me Feel (Mighty Real),Sylvester,,,,,,happy,positive,"[Verse 1] When we're out there dancing on the floor, darlin' And I feel like I need some more And I feel your body close to mine And I know my love, it's about that time Make me feel mighty real Make me feel mighty real  [Chorus] You make me feel mighty real You make me feel mighty real  [Verse 2] When we get home, darling, and it's nice and dark And the music's in me and I'm still real hot Then you kiss me there and it feels real good And I know you'll love me like you should  [Chorus] Oh, you make me feel mighty real You make me feel mighty real Make me feel mighty real Make me feel mighty real Make me feel mighty real Make me feel mighty real  [Post-Chorus] I feel real, I feel real I feel real, I feel real Real real, I feel real I feel real, I feel real, woo  [Instrumental Break]  [Bridge] I feel real, I feel real I feel real, real real Woo, I feel real Woo, I feel real I feel real, real real I feel real, I'm real real  [Chorus] You make me feel mighty real You make me feel mighty real Oh, you make me feel mighty real You make me feel mighty real  [Post-Chorus] Oh, I feel real when you touch me I feel real when you kiss me I feel real when you touch me I feel real when you hold me  [Instrumental Break]  [Outro] Woo, woo Woo, woo Woo, you make me feel real",en
ML1907,MoodyLyrics4Q,Orange Skies,Love,Psychedelic Rock,,,,,relaxed,positive,"[Chorus] Orange skies Carnivals and cotton candy and you And I love you too, you know I do  [Verse 1] Nightingale Prettier than anything in the world And I love you too You know I do  [Chorus 2] You make me happy Laughing, glad, and full of glee And you don't have to try, girl For you it comes so naturally Right here in my arms  [Chorus]  [Chorus 2]",en
ML1908,MoodyLyrics4Q,Portrait Of A Cynic,Diary of Dreams,,,,,,sad,negative,I know for sure You left me here I came for shelter My last conviction  I'll fight for sure You found me stranded My hand in yours A farewell whisper  Tell me what for... Tell me why... Tell me the reason... Tell me how...  Tremble on... My last conviction... Tremble on... My last farewell... Tremble on... My last prediction... Tremble on... This is my cell Tremble on... My last conviction... Tremble on... My last farewell... Tremble on... My last prediction... Tremble on... This is my cell,en
ML1909,MoodyLyrics4Q,Professional Widow,Tori Amos,Alternative Rock,,,,,angry,negative,"[Verse 1] Slag pit, stag shit Honey bring it close to my lips, yes Don't blow those brains yet We gotta be big, boy, we gotta be big  [Chorus] Starfucker just like my daddy, yes Starfucker just like my daddy, yes Selling his baby, yes Just like my daddy, yes Gonna strike a deal Make him feel like a congressman Running in the family It's running a family  [Bridge] Rest your shoulders, peaches and cream Everywhere a Judas as far as you can see Beautiful angel calling We got every re-run of Muhammad Ali  [Verse 2] Prism perfect Honey bring it close to your lips, yes What is termed a landslide of principle proportion, boy? It's gotta be big, I said it better be big, hey, hey  [Chorus] Starfucker just like my daddy, yes Starfucker just like my daddy, yes Selling his baby, yes Just like your daddy, yes Selling his baby Gonna strike a deal Make him feel like a congressman It's running in the family It's running a family, hey It's running in the family, hey baby It's running a family, hey yeah  [Outro] Mother Mary, China white Brown may be sweeter, may be sweeter Mother Mary, China white Brown may be sweeter She will supply, she will supply She will supply, she will supply, supply, supply Give me peace, love, peace, love Give me peace, love and a hard cock",en
ML1910,MoodyLyrics4Q,Marrakech,ATB,Trance,,,,,relaxed,positive,"[Intro: Tiff Lacey] A ritual disgrace Marrakesh adventure A ritual disgrace Marrakesh adventure, Marrakesh adventure  [Verse 1: Tiff Lacey] That familiar sound Explains what I'm feeling I'm both lost and found Never been there before That familiar sound Explains what I'm feeling I'm both lost and found Never been there before  [Chorus: Tiff Lacey] A ritual disgrace Marrakesh adventure A ritual disgrace Marrakesh adventure, Marrakesh adventure A ritual disgrace Marrakesh adventure A ritual disgrace Marrakesh adventure, Marrakesh adventure  [Verse 2: Tiff Lacey] Can't tell you how I even came to get here Mysterious Everything I hold dear That familiar sound Explains what I'm feeling I'm both lost and found Never been there before  [Chorus: Tiff Lacey] A ritual disgrace Marrakesh adventure A ritual disgrace Marrakesh adventure, Marrakesh adventure A ritual disgrace Marrakesh adventure A ritual disgrace Marrakesh adventure, Marrakesh adventure  [Outro: Tiff Lacey] That familiar sound Explains what I'm feeling I'm both lost and found Never been there before Marrakesh adventure",en
ML1912,MoodyLyrics4Q,Ghosts Of War,Slayer,Thrash Metal,,,,,angry,negative,"[Verse 1] Fate, silent warriors, sleeping souls will rise Once forgotten soldiers come to life Fallen mercenary, dormancy is done Not content with wars we've never won  [Chorus] Memories can't ignore Anguish of before Satisfy the scorn Rise, ghosts of war  [Verse 2] Target, assassinate, time of your life has expired Hatred, victimize, gaze in their eyes as they die Violence, inflicting of pain, savage morticians deny Drive the salt in the wound, arouse the subconscious to lie  [Chorus] Memories can't ignore Anguish of before Satisfy the scorn Rise, ghosts of war  [Guitar Solo: Kerry King]  [Guitar Solo: Jeff Hanneman]  [Bridge] I deal in pain All life, I drain I dominate I seal your fate  [Instrumental Break]  [Outro] I deal in pain All life, I drain Memories can't ignore Rise, ghost of war",en
ML1913,MoodyLyrics4Q,Inferno,Lunascape,,,,,,relaxed,positive,"Your love Inferno Defines your anger The way you are  My love inferno Angenlic candle, gelignite I'll try to cease the burning of you  How can I enjoy your inferno? Inferno, could you be eternal? I'll refuse your love  Endless inferno Reveals your sorrow For every page I'll try to break Your catherine wheel again",en
ML1914,MoodyLyrics4Q,The Truth,India.Arie,Soul,,,,,relaxed,positive,"[Intro - Spoken] Let me tell you why I love him  [Chorus] 'Cause he is the truth, said he is so real And I love the way that he makes me feel And if I am a reflection of him then I must be fly Because his light it shines so bright I wouldn't lie  [Verse 1] I remember the very first day that I saw him I found myself immediately intrigued by him It's almost like I knew this man from another life Like back then maybe I was his husband maybe he was my wife And even things I don't like about him are fine with me 'Cause it's not hard for me to understand him cause he's so much like me And it's truly my pleasure to share his company And I know that it's God's gift to breathe The air he breathes  [Chorus] 'Cause he is the truth, said he is so real And I love the way that he makes me feel And if I am a reflection of him then I must be fly Because his light it shines so bright I wouldn't lie (no)  [Verse 2] How can the same man that makes me so mad Do you know what he did Turn right around and kiss me so soft Girl, do you know what he did If he ever left me I wouldn't even be sad no 'Cause there's a blessing in every lesson And I'm glad that I knew him at all  [Chorus] 'Cause he is the truth, said he is so real And I love the way that he makes me feel And if I am a reflection of him then I must be fly Because his light it shines so bright I wouldn't lie  [Bridge, Breakdown, & Ending] I love the way he speaks I love the way he thinks I love the way that he treats his mama I love that gap in between his teeth I love him in every way that a woman can love a man From personal to universal but most of all It's unconditional  You know what I'm talking about That's the way I feel And I always will  There ain't no substitute for the truth Either it is or isn't ('Cause he is the truth) You see the truth it needs no proof Either it is or it isn't ('Cause he is the truth) Now you know the truth by the way it feels And if I am a reflection of him then I must be fly Because he is, yes, he is I wonder does he know",en
ML1915,MoodyLyrics4Q,April 8th,Neutral Milk Hotel,Indie,,,,,sad,negative,[Verse 1] Crawl across toward your window I'm calling softly from the street Always a lonely widow Half awake and sleeping on my feet I'm of age but have no children No quarter phone booth calls to home Just late night television Inside my bedroom all alone  [Verse 2] There is no use in waiting Offer up your steps so I can climb Show me all your figure paintings Etched in the middle of the night Let me stretch upon your carpet Let me hear the rain tap on your street Knowing I am safe on the inside Blankets wrapped and drifting off to sleep,en
ML1916,MoodyLyrics4Q,The Other,Isis,Metal,,,,,sad,negative,"In this secret way He knew you first  And from those lips A seed  Your mouth dropped open Darkness fell out  Kept close in skin Kept close in blood And in he was  And from those Lips, a seed  This is the gift that he received Twisted roots kept warm  Raped she was And ready for the death",en
